S11m,S11p,S21m,S21p,Frequency
6.5586629172,33.704129611,-49.339219145,121.31113145,2000.0
6.0635046239,70.286304902,-56.609518478,89.055159363,2010.0
5.8082598375,108.41942643,-59.361255005,116.44004634,2020.0
6.2096629701,147.76043034,-42.749829166,71.268504439,2030.0
7.76333926,-172.27672214,-49.070729427,-29.423817086,2040.0
12.690503659,-136.75692574,-46.377714614,-68.512063311,2050.0
15.264598571,-168.96163821,-45.167309669,-178.98383596,2060.0
9.5390637623,-147.66719005,-51.4061762,137.04567353,2070.0
7.4953463093,-110.43313688,-51.152632559,114.24854771,2080.0
6.7442309391,-72.917862678,-49.056553154,83.187680833,2090.0
6.4060329337,-36.136946003,-48.491029277,27.306722512,2100.0
6.061482965,0.34379534701,-49.927724795,-25.358202133,2110.0
5.9700045889,38.758753431,-55.363825239,-53.93580945,2120.0
6.1508603054,78.659044679,-47.225788108,-63.375547763,2130.0
7.279537416,119.72958116,-50.001542775,-166.19249667,2140.0
11.35828293,155.23004594,-49.350889425,160.27002185,2150.0
14.100915385,133.56850609,-48.126057057,67.391982969,2160.0
8.7544090397,151.39720859,-53.627377303,23.949531382,2170.0
6.6704628809,-173.86401421,-55.280748753,2.4345642882,2180.0
5.8159413812,-139.40530724,-54.298360051,-30.812432807,2190.0
5.4951968595,-105.09476587,-52.77752802,-70.242204924,2200.0
5.4027850709,-70.541024949,-53.735980239,-107.79511874,2210.0
5.5002846615,-34.952682316,-54.923205806,-153.40981151,2220.0
5.9242713885,2.9380495314,-52.861216882,-151.34202432,2230.0
7.1534030445,43.556534523,-48.236711753,114.6279738,2240.0
10.962748349,80.400537312,-48.982515623,68.944146402,2250.0
14.136324587,64.846240443,-47.634097652,-21.883096491,2260.0
8.9660426012,81.884944986,-55.180772269,-68.260882847,2270.0
6.7907484519,118.17976735,-57.652218735,-97.609641016,2280.0
5.8429610775,153.40073198,-57.892216625,-126.45432984,2290.0
5.4256510328,-172.43491721,-60.227032727,-154.74807346,2300.0
5.2989630847,-138.67892138,-60.94080125,167.98539366,2310.0
5.3947119073,-104.51867611,-59.197782756,136.60401499,2320.0
5.7683081539,-69.12288024,-57.268932138,104.84976747,2330.0
6.9667376226,-30.452626014,-48.462924373,25.241730307,2340.0
10.71148668,6.4255048099,-50.464370826,-43.415570841,2350.0
13.809503547,-8.7091838716,-52.37160064,-144.26297391,2360.0
8.8317832314,10.807608388,-62.342351794,162.77028386,2370.0
6.8489192676,48.09082168,-66.242986267,161.23506827,2380.0
5.9797633611,84.850714481,-69.962209151,158.77225844,2390.0
5.478520832,119.62924817,-71.448938357,135.39152607,2400.0
5.2166998924,153.39052435,-70.325630663,117.62361268,2410.0
5.1388705194,-173.03982324,-68.335648963,100.54393331,2420.0
5.3007320502,-138.97658012,-64.281959542,67.769911583,2430.0
6.0906170966,-103.2754969,-58.363288513,12.184148056,2440.0
8.8990541959,-68.638523335,-57.671911688,-58.239803766,2450.0
12.29079006,-72.606915471,-55.300223012,-142.56151572,2460.0
8.1547134678,-60.242885251,-58.98525257,151.49011406,2470.0
6.2568101778,-24.89954781,-62.611199353,110.11027246,2480.0
5.6205024665,10.760449832,-66.464339514,63.213669008,2490.0
5.4083084353,46.316710316,-68.715483149,47.285585133,2500.0
5.2863187055,80.672675305,-69.228022364,33.646839213,2510.0
5.3507141654,115.22145874,-68.408130701,17.726110916,2520.0
5.5769323613,150.36297524,-64.225148224,-11.184185291,2530.0
6.2545226749,-173.190522,-57.345604433,-62.523949308,2540.0
8.5390198189,-137.45737706,-56.336154354,-133.82683029,2550.0
12.31432376,-133.65537779,-53.686181606,137.21601379,2560.0
8.5949815755,-127.21501189,-59.648694363,54.843396525,2570.0
6.4028561416,-93.472707245,-66.227517113,1.1185773675,2580.0
5.6200553479,-58.900531502,-71.139933523,-27.46036957,2590.0
5.3675650967,-25.067663286,-75.038137548,-37.315170749,2600.0
5.3085618856,8.5160303643,-77.316675773,-42.573853519,2610.0
5.3367863879,42.481781133,-77.103717425,-53.189100304,2620.0
5.5533498924,77.059640289,-70.870304731,-73.853568603,2630.0
6.1824919231,113.86359753,-61.043338147,-103.44341756,2640.0
8.0556955097,152.53387535,-56.104287241,158.59562039,2650.0
12.936708154,165.28405812,-54.054478621,87.671149629,2660.0
9.1439601812,162.48659934,-60.769896156,-11.036004101,2670.0
6.5626812668,-163.19814237,-68.16702555,-57.984873596,2680.0
5.5775554671,-127.92603934,-75.832358976,-66.897236999,2690.0
5.1546985536,-94.419494974,-81.622965805,-76.374256488,2700.0
5.01380754,-61.688880017,-84.194728123,-77.142436123,2710.0
5.0213197148,-28.740407744,-81.854810659,-85.596058152,2720.0
5.2374922017,4.7553896746,-76.219822792,-94.318543027,2730.0
5.8564889016,39.476434242,-66.578145072,-119.72203481,2740.0
7.4430468623,75.177653005,-54.16590456,154.05977516,2750.0
11.56241335,99.007438853,-53.629363005,79.8212966,2760.0
10.129670389,88.755395087,-51.875218826,-27.484429588,2770.0
6.8812510826,121.83720821,-56.730330837,-107.78663404,2780.0
5.9219113474,159.34140327,-65.519311433,-152.0990753,2790.0
5.5103505917,-165.40197938,-72.742178274,-150.8700244,2800.0
5.3992788041,-132.54566134,-78.668642357,-155.98465795,2810.0
5.4247544899,-98.466552945,-76.497511731,-179.58038951,2820.0
5.5328958325,-65.216100193,-77.999176202,-178.22848207,2830.0
5.928744317,-30.643289923,-72.536077485,164.42311899,2840.0
7.1642268808,5.3626789574,-61.512575567,121.1966393,2850.0
10.676890071,33.281122952,-59.843934128,9.681376974,2860.0
11.347296502,23.15882999,-58.941277001,-73.936678036,2870.0
7.3109682827,48.587913684,-62.343956075,-167.67738103,2880.0
5.9690805918,85.614638693,-70.733467776,155.35051823,2890.0
5.546351534,121.1549943,-80.662992548,141.44363692,2900.0
5.411140471,155.38235108,-80.393245262,146.51405132,2910.0
5.465993209,-170.91923166,-85.315884858,136.98974896,2920.0
5.6025748063,-136.94208282,-82.771690192,92.219857837,2930.0
5.9716126508,-101.92221958,-74.708957855,90.957968655,2940.0
6.9016031236,-65.161362796,-63.507593711,71.639085997,2950.0
10.001529007,-30.192181118,-55.086305276,-58.871586855,2960.0
12.818269375,-42.724375032,-59.676869144,-148.00918892,2970.0
7.8785191743,-23.749073694,-58.590952259,142.81498436,2980.0
6.1010341856,13.346876722,-66.06819002,54.908863454,2990.0
5.5617493482,48.897310976,-73.772131772,31.653954252,3000.0
5.4336845549,82.893504487,-81.027904623,33.710984594,3010.0
5.5501934305,116.59758993,-88.039148153,-0.17462873768,3020.0
5.8250639795,150.30177281,-80.048879716,-16.766658919,3030.0
6.2878801537,-175.11865037,-73.026923704,-5.5132395981,3040.0
7.2516974257,-138.80983466,-63.591552912,-32.381106224,3050.0
9.7208431184,-100.52869322,-51.652557895,-108.43546534,3060.0
16.001786532,-98.362650058,-51.454485727,143.72715352,3070.0
9.5019679034,-101.23629856,-54.54672039,76.772814764,3080.0
