S11m,S11p,S21m,S21p,Frequency
5.8622949324,-107.13854901,-56.050034215,-158.92242327,2000.0
5.5640735248,-79.000210313,-63.826356402,-129.63345456,2010.0
5.4178339657,-47.652027871,-58.43199859,-114.68602425,2020.0
5.8482506971,-14.8959896,-41.082248453,-177.91476467,2030.0
7.1284032515,18.597835439,-48.846995611,67.303869461,2040.0
10.959003323,47.355974659,-47.106558629,21.925295532,2050.0
13.077550079,27.011017085,-45.738052438,-70.356736273,2060.0
8.5229899378,40.501040879,-51.601345794,-122.67044369,2070.0
6.5890696749,69.478775467,-51.10484685,-155.49400181,2080.0
5.7917430377,98.448380663,-48.656101829,160.49576399,2090.0
5.423144973,126.42979547,-51.016597518,82.542474533,2100.0
5.1055916242,153.22944569,-57.07537478,56.828182132,2110.0
5.0347162073,-177.95844081,-55.989896783,51.183787792,2120.0
5.3365138803,-147.44257712,-45.900694381,11.89161054,2130.0
6.4284326588,-115.66848919,-49.827547934,-116.31544476,2140.0
9.7678234633,-88.960261729,-50.596119929,-152.88130996,2150.0
11.716547604,-103.09903543,-50.296024786,126.96580487,2160.0
7.8778297623,-89.435175215,-54.696789802,82.472577753,2170.0
6.1810554945,-60.563245212,-56.443921143,56.662972604,2180.0
5.4554930596,-31.780395613,-54.353220558,18.77830676,2190.0
5.0937959755,-3.7749461762,-53.664003807,-27.003857686,2200.0
4.9615100158,23.792763524,-57.525684786,-71.831603482,2210.0
4.9513562416,51.863225695,-59.766081369,-84.254996341,2220.0
5.154996379,80.885178822,-52.920614248,-88.242121495,2230.0
6.0464163294,111.54846777,-47.056679321,148.04449889,2240.0
8.8952623852,139.01054642,-49.429267722,96.625237597,2250.0
11.144728266,130.85813517,-49.047920899,14.970652023,2260.0
7.5915561307,142.03432915,-55.587780501,-41.176138177,2270.0
5.9580602806,169.70769041,-57.685819061,-81.624341751,2280.0
5.2673901077,-162.45042052,-58.479165141,-118.97701037,2290.0
4.963242915,-134.93331745,-62.089027079,-156.45790289,2300.0
4.8556380864,-107.52887297,-65.143977466,163.51516078,2310.0
4.8398183367,-79.759050294,-68.214059844,163.90403484,2320.0
5.0464396229,-51.457154563,-59.005154388,174.93608227,2330.0
5.7845434339,-21.08165711,-43.207536445,35.245858884,2340.0
8.2261709023,7.7846881552,-51.099745105,-42.535168664,2350.0
10.957855421,3.1618760357,-53.116339543,-128.49653665,2360.0
7.4598078159,12.466635419,-61.510652179,163.76838011,2370.0
5.7370514961,39.977306131,-66.862461323,145.83882324,2380.0
5.0648479138,67.783742145,-71.664686227,135.8724253,2390.0
4.7206514699,94.722213719,-72.423093104,111.68281893,2400.0
4.5907532942,121.02452335,-72.775009018,92.111008201,2410.0
4.6126041386,147.46475501,-72.091294759,74.223341161,2420.0
4.8180745214,174.60764972,-69.152750595,71.035452291,2430.0
5.4398937882,-156.77803831,-55.567037274,18.527402022,2440.0
7.4307998137,-128.39015109,-57.523007327,-93.727209771,2450.0
10.473726007,-125.83232447,-56.475776179,-163.98086348,2460.0
7.5383617427,-120.54319139,-59.23259757,123.18709222,2470.0
5.7982190184,-93.051285897,-63.405909215,71.638126164,2480.0
5.0932597458,-64.655313786,-66.509385979,25.545624761,2490.0
4.8218789751,-37.408494638,-69.094265572,-2.906620429,2500.0
4.6903386968,-10.536819344,-70.33619499,-27.563716242,2510.0
4.6730369722,16.334861407,-70.174409631,-42.658645521,2520.0
4.7547780384,43.396094546,-70.368663459,-59.325185244,2530.0
5.2315709046,71.46622363,-60.899214027,-71.454909045,2540.0
6.7983710813,99.758409442,-53.779308135,168.59295353,2550.0
9.8483854972,107.96793412,-54.271899254,82.5431699,2560.0
7.5447443944,109.25885921,-59.734882399,-6.4308956473,2570.0
5.6046683735,134.64583709,-66.650370678,-66.076354745,2580.0
4.9354856,162.1155202,-73.314612368,-98.185243038,2590.0
4.6983984509,-171.27274231,-77.148522747,-126.67916651,2600.0
4.6289888873,-144.8920906,-77.665053226,-129.63264625,2610.0
4.6656698865,-118.28929916,-79.217281209,-139.15748634,2620.0
4.8672160872,-91.354402496,-74.995903759,-139.73484781,2630.0
5.3371824996,-62.702226365,-65.274007342,-154.90779934,2640.0
6.6519458558,-32.328074011,-50.674638795,106.05921641,2650.0
10.293125022,-16.191542532,-52.398156825,-10.123283353,2660.0
8.4174949077,-22.244883532,-59.432060103,-115.08271413,2670.0
6.0186836751,3.4578421413,-69.961737381,-161.4159597,2680.0
5.1102092077,32.217613516,-77.248127353,178.41262826,2690.0
4.7039056252,59.204398996,-83.087494612,169.15272175,2700.0
4.5460891877,85.287480289,-85.759899367,157.44177797,2710.0
4.538557876,111.09330779,-83.4365052,147.58146025,2720.0
