S11m,S11p,S21m,S21p,Frequency
5.5837689319,-59.88041359,-53.842151907,-13.724326849,2000.0
5.9293309207,-36.611509122,-56.634910245,-70.08773787,2010.0
6.1381939809,-11.861925615,-61.288533534,-98.850240682,2020.0
6.1448584439,13.904875573,-61.236675705,-135.32380547,2030.0
5.9596286456,40.025704414,-63.041277483,174.34307781,2040.0
5.6344355585,65.790594389,-67.378075642,153.81123499,2050.0
5.2594783205,90.799248427,-64.762609366,139.5590259,2060.0
4.9199331849,114.54314749,-62.930210585,93.7618363,2070.0
4.7180155201,136.87474985,-63.895647345,41.975326126,2080.0
4.7146709315,158.28482205,-67.319746728,-7.8840439753,2090.0
4.8964885222,179.84342554,-82.076712918,-57.168449185,2100.0
5.138539041,-157.67141133,-72.493724848,49.407767558,2110.0
5.3113899198,-134.09815333,-70.633748095,-5.9696804094,2120.0
5.3687933972,-109.77165285,-67.472202082,-26.179454615,2130.0
5.3135320516,-85.010121976,-63.520406337,-82.321929756,2140.0
5.1584537121,-60.178185741,-61.450755306,-139.66890589,2150.0
4.9509341509,-35.752002005,-59.830878802,164.35212889,2160.0
4.7695557706,-11.865597544,-59.072889416,107.82152395,2170.0
4.655949898,11.487305715,-58.043013903,55.238344007,2180.0
4.6256220127,34.319976829,-57.189245076,-0.74124939857,2190.0
4.7067141469,56.968093235,-57.161413957,-58.145603215,2200.0
4.8412598812,80.098669772,-57.69201754,-117.04951671,2210.0
4.9089558259,103.62173584,-61.244268206,179.65123489,2220.0
4.9305160132,127.28908558,-66.533260542,168.23994506,2230.0
4.90751403,151.14903106,-65.717277878,140.48469677,2240.0
4.8396477478,175.02161792,-67.880406965,110.5692821,2250.0
4.733274428,-161.35700483,-68.74067125,101.01927828,2260.0
4.6337276312,-138.12140441,-68.099405991,76.965907694,2270.0
4.5704412234,-115.26199677,-66.828460079,56.255275742,2280.0
4.569851224,-92.667823792,-65.292971212,17.342171431,2290.0
4.6499038425,-70.066087723,-65.480350166,-30.962325076,2300.0
4.7747343258,-47.066189368,-66.391655662,-75.303682706,2310.0
4.8851254202,-23.462159495,-66.817880499,-137.54922049,2320.0
4.938878319,0.55933582841,-73.649792231,161.79658851,2330.0
4.9307936223,24.791763509,-74.89253768,158.42195882,2340.0
4.8483441161,49.061444778,-75.889739171,128.43203608,2350.0
4.7353237054,72.75186032,-73.890275175,117.85467151,2360.0
4.6713028015,96.02820585,-72.185804158,79.7490317,2370.0
4.6626276232,119.08094273,-73.015137141,59.626130145,2380.0
4.7098442826,142.01431283,-70.601995219,49.252465504,2390.0
4.7977430639,164.96456272,-66.0321952,20.606587565,2400.0
4.9198236119,-171.76789698,-62.781991144,-25.074996309,2410.0
5.0164971132,-148.22244557,-61.166447273,-81.71107591,2420.0
5.06520166,-124.57162232,-62.778844286,-145.44945668,2430.0
5.095317704,-100.80255028,-67.473960951,-171.52377112,2440.0
5.1093539562,-76.809248334,-65.560055615,149.44261739,2450.0
5.0669582304,-52.745238233,-67.818969863,93.265237282,2460.0
4.9934161425,-29.114029976,-71.419219777,59.836245526,2470.0
4.9556985982,-5.9142514316,-71.771497034,40.963329708,2480.0
4.9677231179,17.225630731,-68.858219969,16.417748712,2490.0
5.0253392195,40.111814874,-66.594932431,-27.924684031,2500.0
5.1240383379,63.123217604,-66.214635324,-69.504041648,2510.0
5.2765432295,86.443008907,-66.361303458,-102.75915088,2520.0
5.3945401133,110.2655637,-65.998939006,-138.83967142,2530.0
5.4672970816,134.20112037,-69.276693293,-178.98730004,2540.0
5.5107540913,158.17541753,-69.567101947,-176.39925977,2550.0
5.5162175602,-177.90849357,-67.645582325,157.44226562,2560.0
5.5146939845,-154.32414392,-66.777089709,121.00747931,2570.0
5.5549343449,-131.01919539,-67.409747313,88.225456104,2580.0
5.6561484827,-107.74098989,-65.26907369,54.141474587,2590.0
5.8085639359,-84.251537533,-63.060795009,-4.3446978047,2600.0
5.9815834256,-60.350024181,-62.673921516,-69.072628068,2610.0
6.1258556122,-36.153425241,-63.805086586,-127.55395327,2620.0
6.2309734576,-11.804184754,-65.825862285,-177.90937412,2630.0
6.2884343492,12.48095155,-70.009132032,133.41587569,2640.0
6.3350854154,36.723329705,-79.085434479,139.0249083,2650.0
6.3424849118,60.706874569,-78.206597652,169.97980562,2660.0
6.3472964621,84.191999586,-71.691128529,174.08738284,2670.0
6.409600992,107.19457083,-68.223058821,143.22816695,2680.0
6.5209716582,129.9324904,-65.723383637,116.37713185,2690.0
6.7254548119,152.54828297,-63.284779032,77.684792603,2700.0
7.0469835034,175.39732087,-62.146074128,33.317957788,2710.0
7.4558931897,-160.9490139,-61.533388624,-15.282838975,2720.0
7.8621017175,-136.31080916,-60.880440081,-68.820338323,2730.0
8.1959742551,-110.9888873,-61.101792098,-123.75704015,2740.0
8.4326269509,-85.319170356,-63.892318942,-179.10985454,2750.0
8.5477421284,-59.704446197,-66.24960894,-177.84615395,2760.0
8.5842972828,-34.930520981,-62.465859794,157.64438874,2770.0
8.7092741995,-11.493375722,-60.835692123,123.2505612,2780.0
9.0110758865,11.617068928,-59.813620943,90.185335174,2790.0
9.4158977205,35.053425355,-59.388041054,55.365676557,2800.0
9.8803575094,58.474140387,-59.757301477,20.019247365,2810.0
10.449696368,82.459474416,-60.555628057,-12.924193605,2820.0
11.014222297,106.8154391,-61.385971454,-47.676557746,2830.0
11.566958729,131.7346847,-62.445332355,-86.660152508,2840.0
12.047002185,156.67084349,-64.488962252,-133.46887588,2850.0
12.469845225,-178.65788706,-69.533090167,-167.99483223,2860.0
12.877897995,-154.98042308,-68.899233458,177.96440887,2870.0
13.430187384,-132.90755177,-67.731648308,133.7781908,2880.0
14.331234628,-111.92224243,-69.050176463,83.731824566,2890.0
15.658722462,-91.151567196,-75.483405028,60.607160226,2900.0
17.437616323,-70.094211237,-72.500510392,80.221953659,2910.0
19.865597192,-47.748983586,-70.967662522,43.776102524,2920.0
22.970304322,-21.871145776,-71.814344634,19.126614108,2930.0
26.64716605,12.647858424,-72.31085299,-7.0703580065,2940.0
29.50314609,61.589256615,-76.239767822,-29.319870265,2950.0
28.826369089,104.62053568,-78.92055103,-17.763620094,2960.0
28.921521323,123.36417868,-77.115570457,-17.496990818,2970.0
31.322243433,116.82354414,-75.786883456,-44.016949506,2980.0
31.608341475,73.260391814,-81.506305788,-76.622424995,2990.0
25.493875507,55.699760974,-81.807380194,-1.1763814544,3000.0
22.330113521,60.01785637,-73.694592128,-36.252834794,3010.0
19.39910661,72.242651802,-73.390465246,-82.98297177,3020.0
17.3376578,86.889766839,-76.146931867,-100.97614678,3030.0
15.865347857,103.64057534,-73.126884809,-109.76386853,3040.0
14.810621713,121.84631258,-70.647822084,-153.22959914,3050.0
14.066417004,141.09939863,-72.844378647,160.32903793,3060.0
13.643164838,162.4443465,-75.374922956,172.31613084,3070.0
13.4138777,-173.66991102,-68.10983589,146.86240584,3080.0
13.061862665,-147.81204684,-65.240594618,101.9391296,3090.0
12.53352202,-121.82051632,-63.850589552,63.355861731,3100.0
12.008883692,-96.568442462,-62.648674485,25.354087746,3110.0
11.435855037,-71.920349292,-61.767582284,-13.797450462,3120.0
10.883607138,-48.464216304,-61.373369526,-50.436778663,3130.0
10.472898539,-25.59180474,-60.679646831,-89.60235292,3140.0
10.246070984,-2.5312685694,-60.516261818,-136.34591621,3150.0
10.177548062,21.845458071,-62.352296383,176.26430533,3160.0
10.093365594,48.145059168,-65.158904525,140.22307017,3170.0
9.7643610506,75.585587609,-65.586135149,119.54770884,3180.0
9.19651452,102.37948902,-64.846237158,80.913433504,3190.0
8.5737069685,127.58140717,-65.034296126,41.876272548,3200.0
8.0025990417,151.25239135,-65.185952512,3.270446195,3210.0
7.5449692761,173.60586616,-64.958968152,-39.818270029,3220.0
7.193284422,-165.11460604,-64.896087323,-85.86002531,3230.0
6.9474013602,-144.3893791,-65.505315733,-134.78031421,3240.0
6.8411035264,-123.73221159,-65.542307814,-178.47564773,3250.0
6.857259976,-102.55319654,-64.890916536,132.99923224,3260.0
7.0491827879,-80.229234445,-65.568467703,82.742449049,3270.0
7.3000949798,-55.818636443,-67.779372416,59.254569179,3280.0
7.4681743945,-29.723587359,-65.03911465,37.804026206,3290.0
7.4689201886,-2.6359159875,-63.040692936,-0.75624866637,3300.0
7.3274013036,24.276633241,-62.39576583,-41.21203398,3310.0
7.0476472224,50.276512436,-62.451718238,-77.386649193,3320.0
6.6750411649,74.929230969,-62.289411011,-110.88971688,3330.0
6.2838316829,97.921393401,-61.895055569,-146.79123298,3340.0
5.9626500818,119.62473828,-61.667838479,175.78491958,3350.0
5.802954954,141.05222152,-61.474980775,136.57005965,3360.0
5.7897322935,163.0249137,-62.410721297,95.078492606,3370.0
5.8882597593,-173.63759192,-64.435491826,70.424077881,3380.0
5.9622565123,-149.12379872,-63.46451762,49.530579299,3390.0
5.9260020181,-124.76896053,-62.465008046,20.171999252,3400.0
5.8317489255,-101.22266226,-61.859444207,-14.058737583,3410.0
5.7992589083,-78.144900186,-61.744131053,-46.826383348,3420.0
5.7926180004,-55.193954629,-61.720826451,-81.519060875,3430.0
5.7349467848,-32.394122505,-61.924659972,-119.14197576,3440.0
5.6303309236,-9.876890322,-62.422804416,-161.07401663,3450.0
5.5338339778,12.192299735,-63.569550626,151.75554383,3460.0
5.5919861724,34.82150028,-66.580101403,107.75407225,3470.0
5.8002648975,59.073943132,-68.70728228,81.93262622,3480.0
6.0019321933,84.987487005,-67.936183469,53.666486505,3490.0
6.0789492135,111.60364794,-67.148787812,19.546587906,3500.0
5.9921271496,137.77011055,-66.814455906,-19.220106842,3510.0
5.7663401419,162.768796,-67.378810108,-54.662353375,3520.0
5.4338496916,-173.93006336,-67.869448568,-90.04311385,3530.0
5.0780043658,-152.6931228,-69.394204894,-134.03951779,3540.0
4.8382108356,-132.57789997,-73.095412101,176.17965545,3550.0
4.7001480741,-112.94105575,-78.885566205,133.42924818,3560.0
4.7688998062,-93.046694347,-81.837185588,96.168101086,3570.0
5.0583048772,-71.622395553,-79.671763656,53.478445264,3580.0
5.4493343523,-47.819081513,-76.910084572,15.176947128,3590.0
5.7748874119,-22.352606562,-73.296214235,-12.896001444,3600.0
5.9842612612,3.7427130465,-70.807091013,-44.365216442,3610.0
6.1049550384,29.988718615,-68.929391497,-77.502038025,3620.0
6.0684587877,56.001277594,-68.15898816,-110.91176824,3630.0
5.8077042057,80.836491965,-67.65969363,-146.78865812,3640.0
5.425975163,103.67800982,-68.20878139,171.71118829,3650.0
5.1494940635,124.99373562,-69.941537266,132.42342176,3660.0
5.0905271981,146.06684461,-70.412819704,93.601564575,3670.0
5.215086524,168.06616845,-69.98377783,48.177865532,3680.0
5.4081590014,-168.33854226,-69.427652567,3.7917636072,3690.0
5.5653143258,-143.68475051,-68.350769462,-37.421406563,3700.0
5.671622913,-118.73633708,-67.74265895,-76.132512723,3710.0
5.6912667141,-94.077027979,-67.580386042,-111.72290123,3720.0
5.6180829514,-70.197106312,-67.804444728,-147.27694723,3730.0
5.4788940785,-47.295362891,-69.129994218,176.32814574,3740.0
5.2606846887,-25.833668524,-72.459975668,140.09547967,3750.0
5.1170888356,-5.6044238965,-76.305555912,126.50083662,3760.0
5.1948310311,14.479679045,-77.102012949,108.17207456,3770.0
5.4839898405,35.913823661,-77.316133593,76.024947913,3780.0
5.8639399115,59.57007497,-77.791800068,30.413983603,3790.0
6.2099587931,85.240845076,-77.214893107,-16.007853417,3800.0
6.4631624664,112.18673982,-75.843055422,-57.093058981,3810.0
6.5998583844,139.764567,-74.621031838,-100.79351643,3820.0
6.5423455409,166.93715996,-74.443550075,-143.25914792,3830.0
6.2948468337,-167.63754603,-75.976064306,172.52137153,3840.0
5.9786733606,-144.31522409,-82.866627342,137.36864894,3850.0
5.6167428646,-123.04467987,-87.749830306,148.43308083,3860.0
5.3977256477,-103.34250859,-93.438407911,-176.66686647,3870.0
