S11m,S11p,S21m,S21p,Frequency
5.8278019661,-107.40756831,-50.416858164,17.522853736,2000.0
5.538004067,-79.22652272,-59.991799996,39.041772294,2010.0
5.3944466464,-47.798102164,-59.84666541,89.811093548,2020.0
5.8232427072,-14.92605092,-53.984003484,89.202481503,2030.0
7.0924176277,18.751170477,-46.889355216,71.547149759,2040.0
10.947351156,47.925450477,-37.162678286,33.449000485,2050.0
13.180949069,26.980749372,-30.416635524,-65.001564543,2060.0
8.508804136,40.25785501,-29.404038226,-141.33829065,2070.0
6.5665827475,69.289481721,-33.14788116,120.07343419,2080.0
5.7724330503,98.357737795,-40.616090978,78.208528527,2090.0
5.4005561947,126.36240225,-46.385588841,57.445727542,2100.0
5.0761861754,153.14691016,-51.21028605,53.906247476,2110.0
5.0011682199,-178.03911637,-52.717115721,62.419646578,2120.0
5.2977680823,-147.53023513,-50.528257091,63.44057799,2130.0
6.3869148988,-115.70233376,-45.089824949,60.889192513,2140.0
9.75256834,-88.717974816,-32.186583813,41.598073862,2150.0
11.758968099,-103.50956299,-20.138166931,168.01803743,2160.0
7.8639832108,-89.93365725,-38.319786186,123.07287566,2170.0
6.1799316725,-60.677250222,-45.613683965,115.74882246,2180.0
5.4483641945,-31.853947439,-49.568910053,117.34885595,2190.0
5.0781916228,-3.8140116171,-51.538243465,117.32779691,2200.0
4.9427722475,23.749628956,-52.80092494,113.49471587,2210.0
4.9344592407,51.856841948,-52.998344239,117.23534663,2220.0
5.1315008209,80.96087134,-50.068797744,123.74776866,2230.0
6.0097485527,111.6319109,-41.461326812,129.39076495,2240.0
8.8712777331,139.27675433,-22.732082846,-135.53551384,2250.0
11.208161058,130.82980027,-35.897193378,-153.94511238,2260.0
7.5867418762,141.92764069,-46.902737147,175.10973882,2270.0
5.9282231422,169.68188476,-53.057923355,169.79181095,2280.0
5.2356934259,-162.56479166,-56.408392808,165.68332093,2290.0
4.9390928889,-135.1072293,-58.382640723,162.71397601,2300.0
4.8295247126,-107.66663874,-60.021108389,159.4005289,2310.0
4.8122282486,-79.887026459,-60.45786336,171.72951735,2320.0
5.0186553546,-51.593698621,-54.187063912,-171.63712821,2330.0
5.7551369274,-21.143787778,-41.638356166,-156.65668305,2340.0
8.2049931487,7.9831697076,-39.858165497,-62.300455276,2350.0
10.9938694,3.0725858408,-45.613673226,-107.59700054,2360.0
7.451790406,12.185960397,-56.579396475,-134.56368807,2370.0
5.7294461118,39.788246702,-62.964449473,-125.07659865,2380.0
5.0741763708,67.694216059,-65.242871594,-116.18343145,2390.0
4.7247245871,94.771751102,-65.840584944,-115.54987483,2400.0
4.584391541,121.12389319,-66.295028894,-119.18009921,2410.0
4.5991218551,147.54308449,-66.500329068,-115.38162387,2420.0
4.7971769359,174.67174317,-62.885663559,-92.880073904,2430.0
5.4036032008,-156.71378202,-49.769613482,-77.300355202,2440.0
7.3837306672,-128.22985772,-46.896978123,68.955211961,2450.0
10.504060143,-125.64858319,-49.273598098,31.869143112,2460.0
7.5331471757,-120.73707915,-55.609393627,-10.572571285,2470.0
5.7702998028,-93.130139711,-59.640740343,-22.32145364,2480.0
5.0586079406,-64.663989767,-62.322160452,-33.650218015,2490.0
4.7746433754,-37.499714214,-63.136676515,-40.92163691,2500.0
4.6656955758,-10.668381656,-62.422877945,-47.388329203,2510.0
4.634109902,16.187069664,-61.464201123,-54.994279473,2520.0
4.7284116026,43.329473581,-58.6206548,-58.767442036,2530.0
5.2205078518,71.539025977,-50.555137959,-54.664311864,2540.0
6.7974941965,99.903963265,-44.069626113,107.85017689,2550.0
9.9031130386,108.13631829,-50.829452614,82.264792057,2560.0
7.5748978415,109.27497624,-58.152035296,38.184266838,2570.0
5.599033704,134.69989074,-64.021588556,26.831267839,2580.0
4.9213118524,162.08256723,-67.21084579,22.722376883,2590.0
4.6893196026,-171.1396266,-68.864716502,20.793732677,2600.0
4.6042933994,-144.61786699,-69.392547964,21.567541717,2610.0
4.6559717517,-118.37575358,-67.304923876,28.999595328,2620.0
4.8535973493,-91.340198372,-61.463977204,30.27323166,2630.0
5.2833165439,-62.73139806,-51.851736224,20.839801055,2640.0
6.5951769488,-32.430115139,-35.127629046,-155.23535592,2650.0
10.25306572,-16.192768284,-46.678647283,155.8143481,2660.0
8.3737862997,-22.676846992,-56.545718987,94.174838849,2670.0
6.0055383068,3.2059061708,-66.601031474,88.82439382,2680.0
5.0978161631,32.13190613,-72.001833011,106.33298034,2690.0
4.6948851726,59.189360477,-73.753183375,118.54826457,2700.0
4.5462587863,85.242869886,-73.78977775,129.93532028,2710.0
4.5268813813,111.02589514,-71.034486685,135.27274797,2720.0
4.6346280171,137.09685429,-64.795566042,130.5171256,2730.0
4.9971874505,163.88802461,-54.018786037,110.98404512,2740.0
6.0177176604,-168.61436264,-41.942230872,11.599851622,2750.0
8.8908362265,-146.86521759,-43.578972691,-67.913425841,2760.0
9.2413491161,-155.8940604,-46.068730674,-147.1094818,2770.0
6.1932985755,-133.55544017,-53.40267437,179.06741796,2780.0
5.2134289059,-104.43744094,-58.053767669,169.31236296,2790.0
4.9637885606,-76.519057694,-61.69409327,164.06240854,2800.0
4.9046815328,-49.125161917,-64.103972747,162.93650791,2810.0
4.913290291,-21.478850514,-64.33435984,164.77274241,2820.0
5.0127113766,5.8546086882,-62.194867804,168.36875371,2830.0
5.2840564572,33.934070059,-57.615491538,150.75909985,2840.0
6.0586348574,62.991256107,-53.391609905,105.14118301,2850.0
8.3742460022,88.616113013,-49.308996929,47.87050769,2860.0
10.371355902,84.772946083,-47.951080685,-38.934971082,2870.0
6.7930007742,95.828472419,-54.583815453,-98.99830187,2880.0
5.3031702707,124.72201676,-59.837317218,-125.91858962,2890.0
4.8504070481,152.49023356,-63.454841629,-145.34948484,2900.0
4.6923435547,178.72812634,-65.905142847,-159.23132578,2910.0
4.758567613,-155.29879755,-67.065240619,-173.42417013,2920.0
4.9137777011,-129.45657128,-67.65381052,164.71755574,2930.0
5.2501825868,-102.41524575,-67.34776331,155.99691642,2940.0
6.0708935625,-73.071549234,-63.422670678,151.92048459,2950.0
8.3332858852,-43.372816507,-56.834636135,127.16782442,2960.0
12.255817059,-45.076602377,-49.239542171,50.129110337,2970.0
8.1564361525,-41.681659669,-51.618157771,-23.214827137,2980.0
6.0559631695,-9.9983272362,-53.671616471,-70.124675928,2990.0
5.4021329107,20.667879436,-57.588669353,-110.36826111,3000.0
5.1574355584,49.489210739,-62.38720249,-136.72403874,3010.0
5.0791739753,76.865072382,-64.966449754,-152.4691832,3020.0
5.0770061408,103.99737708,-66.237731342,-161.29728931,3030.0
5.2509557253,131.26305214,-65.668706786,-166.36748046,3040.0
5.8291130748,158.27366304,-62.32708384,-174.91349268,3050.0
7.2803103221,-173.80195448,-56.50812161,168.23016014,3060.0
11.707784916,-159.8727333,-47.293226681,120.93349178,3070.0
8.8451811016,-176.88451577,-47.008962932,25.788809698,3080.0
5.9800297539,-147.32255186,-48.89637378,-47.718163594,3090.0
5.3461413143,-116.91729971,-56.573359375,-94.198785339,3100.0
5.2323506324,-88.521008961,-61.018301685,-106.45354288,3110.0
5.3821595078,-60.160352162,-62.792344321,-106.60736674,3120.0
5.6566537985,-33.053825061,-63.051256375,-115.77171358,3130.0
6.020078427,-3.4939600569,-62.702690244,-119.60171932,3140.0
6.6821735009,27.365036183,-60.591190866,-125.52441084,3150.0
8.1223025859,58.40835337,-56.628780027,-138.15530748,3160.0
12.161624359,83.999570877,-49.772947563,-166.46925194,3170.0
12.475139339,54.10046275,-46.414157801,99.575342791,3180.0
7.3392470563,80.277348385,-47.763946608,39.001884434,3190.0
5.8979138333,114.70985448,-58.401806908,-56.789225349,3200.0
5.4853236353,145.0557328,-67.590629872,-65.903988997,3210.0
5.4213399294,173.05832638,-71.914771731,-67.642429424,3220.0
5.4927128154,-159.97219719,-71.923205942,-77.656948143,3230.0
5.8691035871,-132.85210254,-70.34299805,-76.294199893,3240.0
6.5342841073,-104.46970038,-68.740848336,-74.36031566,3250.0
8.1197161201,-74.085777445,-63.025193246,-87.15133865,3260.0
12.559429451,-47.57059856,-53.586893777,-107.0059582,3270.0
15.108409679,-87.482798057,-46.277630913,152.91462014,3280.0
8.3466533572,-65.926011027,-47.457176632,112.55856125,3290.0
6.6777840128,-27.372992139,-42.231838653,-18.207658909,3300.0
6.3238174133,7.5614950126,-58.393231417,-43.506686512,3310.0
6.3726857318,40.091399682,-63.708885604,-31.080748794,3320.0
6.5951469507,71.72797774,-66.259307207,-23.500794418,3330.0
6.9127727766,102.74258742,-67.016962407,-23.170343203,3340.0
7.4748264959,133.62093843,-65.464880216,-24.971079058,3350.0
8.5789322196,165.14649438,-62.061105589,-24.410850673,3360.0
11.523828061,-158.90113698,-55.525361708,-22.06952913,3370.0
22.472877293,171.5507979,-40.228904778,-100.77884683,3380.0
9.8406814707,158.32993989,-49.401998805,-172.61321078,3390.0
6.8241343776,-159.61412207,-41.568116541,158.12375452,3400.0
6.2349980108,-124.40090162,-56.404776899,25.770751474,3410.0
6.3718507786,-93.215862495,-63.736016848,35.241294229,3420.0
6.8841095036,-63.123868719,-65.203019913,41.193976144,3430.0
7.6783659985,-32.370274686,-65.861578586,46.413538899,3440.0
8.9071589816,0.43065691424,-64.854609918,54.199067207,3450.0
10.977987124,34.999252065,-61.650913075,57.575284437,3460.0
14.732402502,76.998776591,-55.850694635,64.377438515,3470.0
33.382217807,-122.00762361,-34.813386474,-175.94773196,3480.0
12.899160261,-3.7277338945,-53.023287615,-106.69638719,3490.0
8.8153259391,54.482986463,-52.873983526,-91.694445152,3500.0
7.8320939544,101.73956691,-49.863831809,98.493201413,3510.0
7.7659502512,141.55841717,-63.795544496,128.62150708,3520.0
8.0257556746,177.21019031,-67.820370327,143.184618,3530.0
8.5855799686,-149.40042433,-68.618272814,154.34162599,3540.0
9.5965926376,-115.6852618,-67.47351232,164.78876555,3550.0
11.48135384,-80.731669226,-65.23984136,178.10919671,3560.0
15.55718429,-40.47509103,-59.278609984,-169.64622743,3570.0
28.867431313,86.609432878,-43.451708549,-86.524419998,3580.0
13.334902249,-146.58400322,-55.786192971,-19.321867569,3590.0
9.0188216603,-89.853482273,-54.208788846,-20.668967978,3600.0
8.2872066099,-41.254641297,-51.268813133,68.470838193,3610.0
8.9983175119,2.020330443,-65.842305364,108.37377104,3620.0
10.354842941,43.838914632,-66.984522249,179.60922578,3630.0
12.026047622,87.101150462,-62.844630028,-151.42795706,3640.0
13.770212205,135.21257488,-59.776602589,-126.9125217,3650.0
14.538736815,178.44159512,-58.250219149,-109.0402208,3660.0
16.582993807,-107.79716106,-55.41789412,-67.285600121,3670.0
16.177162342,-31.422860435,-55.179883561,-29.270031411,3680.0
13.497038046,46.801308615,-55.828642962,7.7555455629,3690.0
10.627835125,118.50823802,-50.553088286,32.362856929,3700.0
9.5570612969,-179.79797316,-53.072388203,147.55769265,3710.0
10.034946496,-127.47305091,-61.429682043,141.3154662,3720.0
11.542133391,-81.107800897,-67.392383881,163.88339837,3730.0
14.00399127,-36.442992115,-63.866366999,-142.68380685,3740.0
17.711133481,11.456850088,-55.158752251,-111.11904635,3750.0
19.877175851,93.5228865,-44.613218478,-50.39300829,3760.0
16.646055792,171.16777327,-24.73681449,-162.65250211,3770.0
12.904418998,-133.81271005,-50.655988734,-137.36177328,3780.0
10.356282703,-85.265863227,-57.226885116,-105.33388357,3790.0
9.1740953151,-35.938120219,-59.265222635,-94.398465016,3800.0
9.7806976308,18.357291909,-58.734213247,-94.397154703,3810.0
12.661142904,78.77222873,-56.298655955,-96.62746237,3820.0
17.585713549,150.07146416,-53.698781481,-90.698013041,3830.0
20.036335929,-116.25619491,-55.759330999,-15.526125887,3840.0
17.401498644,-41.572139747,-51.929953066,50.514309654,3850.0
14.892040431,10.382014751,-47.082441485,1.3751043442,3860.0
12.974275801,56.604149353,-54.846044986,-30.400750292,3870.0
11.21243665,100.75175233,-60.889294582,-26.407136412,3880.0
9.8023394208,144.95221835,-64.524555717,-12.724570683,3890.0
8.8073538335,-169.69354369,-65.880110466,-2.0535321124,3900.0
8.9070254151,-121.24942261,-65.120119734,-2.1522507865,3910.0
11.605331878,-69.872278771,-62.289533416,-8.3773051487,3920.0
20.455064816,-21.296946539,-52.785334653,-25.315544001,3930.0
23.754961069,-152.12881522,-48.472710901,129.90143351,3940.0
14.586112907,-117.96570728,-54.096482051,96.036428524,3950.0
10.975219321,-85.284814518,-60.35148073,42.896721529,3960.0
9.4046749456,-54.426477101,-66.830398421,34.024509201,3970.0
8.3483108659,-23.608955725,-70.337410572,35.325724753,3980.0
7.7596869315,8.556156742,-71.572752776,38.920023582,3990.0
7.5912634651,43.585617893,-71.326595764,51.969461198,4000.0
8.3983450712,85.249649763,-69.222130937,62.318673012,4010.0
11.758933587,133.49519474,-65.509615064,52.938039413,4020.0
23.678190973,155.92138825,-54.738282471,2.8455803071,4030.0
17.524688044,87.071724135,-61.1782182,-142.32124841,4040.0
12.277078903,119.310075,-67.242727046,163.18540533,4050.0
10.077337557,154.06825123,-69.82246378,127.80867315,4060.0
8.6901735971,-173.74587917,-72.267449704,114.06940913,4070.0
7.6842545059,-143.08754857,-73.326001378,108.93320075,4080.0
6.9898000567,-113.1054814,-74.148128863,105.19332359,4090.0
6.597166852,-82.385642391,-74.497494694,101.59775803,4100.0
6.7547547967,-49.772738172,-72.682702213,93.451283743,4110.0
8.5793585905,-14.999213873,-67.569568743,83.180274583,4120.0
14.007974426,-1.0860732923,-60.157316434,41.320383454,4130.0
12.471320736,-22.460097895,-60.687445015,-36.09924102,4140.0
9.2265357417,-2.0877743307,-62.465426792,-85.107132895,4150.0
7.8065903959,25.425483176,-66.403659834,-137.55263161,4160.0
7.1963707906,53.170480843,-70.80581402,-158.96356606,4170.0
6.903926606,81.674381158,-72.245985489,-159.88634613,4180.0
6.7098700348,111.27490372,-72.060222596,-160.38970538,4190.0
6.6146642582,141.89209447,-71.475399535,-155.94081971,4200.0
6.898840532,174.8414529,-70.275032674,-158.98595817,4210.0
8.28073196,-149.48829024,-66.574376834,-173.90834429,4220.0
12.289305253,-128.26619204,-59.565909377,142.56841262,4230.0
11.736814983,-139.31510638,-57.542176769,67.052556952,4240.0
8.6953250335,-119.32606719,-57.819590124,15.280129214,4250.0
7.2445361196,-93.121084375,-62.610555338,-66.512883729,4260.0
6.4332747519,-66.687344656,-69.272346667,-92.234914419,4270.0
5.8937608264,-40.993301222,-72.023641226,-105.43665836,4280.0
5.6244654925,-15.993809751,-73.654299702,-113.14994257,4290.0
5.6345354471,9.8039669731,-73.706561345,-116.60806037,4300.0
5.8026339918,37.326415594,-72.114757353,-119.1710745,4310.0
6.7812192705,66.986017999,-68.439282522,-124.33686682,4320.0
9.7820177394,90.304211429,-62.714285781,-148.15438145,4330.0
10.297503325,86.484825111,-60.708716421,146.44070073,4340.0
8.0078160568,106.41363923,-59.725440843,96.423206305,4350.0
6.9816695079,133.64498615,-61.276591708,14.179534925,4360.0
6.4403917972,160.82609184,-72.23175696,-5.2540321338,4370.0
6.155814245,-171.93200105,-74.859636861,4.08931383,4380.0
5.9378959645,-144.80291839,-74.55708297,-14.006436033,4390.0
