S11m,S11p,S21m,S21p,Frequency
5.4232105475,-54.611080709,-57.444301882,-24.28206581,2000.0
5.7374542626,-31.441799601,-59.287265894,-39.305458832,2010.0
5.929478242,-6.8859704853,-58.902732076,-87.287547094,2020.0
5.9331849714,18.608270434,-61.373077974,-133.21371891,2030.0
5.7593369522,44.431138972,-63.820947465,-164.91830751,2040.0
5.4543052842,69.878014905,-63.361342648,-177.96736492,2050.0
5.1023047581,94.595713953,-59.380632443,137.25181905,2060.0
4.7839226435,118.09769985,-58.233637062,74.997229224,2070.0
4.5949265593,140.29577456,-60.101480409,10.822382817,2080.0
4.5988146948,161.64009147,-64.429117851,-62.621749503,2090.0
4.7748839392,-176.86760221,-69.728794889,-177.59046803,2100.0
5.006316236,-154.50267064,-67.835234683,84.710942581,2110.0
5.1751378282,-131.13030686,-65.400562442,20.714266719,2120.0
5.2406730964,-107.02662203,-63.994048564,-34.067674237,2130.0
5.2004102762,-82.513180462,-62.527241474,-90.505448067,2140.0
5.0644617972,-57.940445642,-61.258084425,-142.82885963,2150.0
4.8809889814,-33.685062761,-59.215529685,161.58580812,2160.0
4.7193930154,-9.9537287909,-58.46652549,101.91235615,2170.0
4.616638132,13.258285977,-57.932115663,47.504911188,2180.0
4.5966117257,35.924119803,-57.631821775,-12.333766664,2190.0
4.6945965348,58.435287408,-59.123379807,-74.045992496,2200.0
4.8472809067,81.468568332,-64.75374513,-119.28607452,2210.0
4.9419103031,104.91164031,-63.067516244,-122.92012897,2220.0
4.9952491971,128.64825376,-61.411828411,-172.92965445,2230.0
4.9985931899,152.69051445,-62.546340516,144.79293952,2240.0
4.9468172814,176.80282553,-63.900542581,108.82939035,2250.0
4.8542248768,-159.31264533,-65.345404832,76.540709512,2260.0
4.7598681786,-135.77803488,-68.671776137,45.023609921,2270.0
4.6921367234,-112.61031755,-70.121030241,46.019109759,2280.0
4.6856105006,-89.754831859,-66.923289817,20.615175254,2290.0
4.7592796002,-66.932429361,-65.913515035,-30.697660783,2300.0
4.8733820736,-43.713963984,-67.137244521,-84.357939498,2310.0
4.9648436733,-19.96817727,-69.360613043,-132.55759999,2320.0
4.9995077102,4.048837407,-70.052143883,179.80099101,2330.0
4.9790075346,28.228539176,-71.424566069,114.31794323,2340.0
4.8840909307,52.334698859,-81.71476943,35.158571286,2350.0
4.7703748392,75.791535084,-78.448381362,-177.41149982,2360.0
4.7077943285,98.93031155,-70.842903654,121.83415347,2370.0
4.6973522514,121.73038661,-67.984058877,77.068657267,2380.0
4.7453736505,144.44318267,-66.511138792,35.623856293,2390.0
4.8420150146,167.21777339,-65.063871614,-2.7032439619,2400.0
4.9710785098,-169.7168361,-64.399814223,-46.136800476,2410.0
5.0807781128,-146.34005896,-65.721941446,-90.711214571,2420.0
5.1613120522,-122.79148487,-66.262960749,-105.95659551,2430.0
5.2258237281,-98.971048075,-62.977634338,-150.07148981,2440.0
5.2566646534,-74.826011936,-62.230807841,148.16954341,2450.0
5.222196432,-50.682722039,-64.206457829,85.555313881,2460.0
5.1457691645,-26.873758896,-67.828971539,31.675473639,2470.0
5.1091626877,-3.5336963212,-73.936440568,-12.013204008,2480.0
5.1195879152,19.605140615,-75.755636626,16.606528283,2490.0
5.1828413954,42.559223139,-69.683802272,-13.329458696,2500.0
5.2974708133,65.496825042,-67.054457608,-53.360804063,2510.0
5.4427081276,88.772351945,-66.23602197,-98.803116228,2520.0
5.5556130403,112.43865999,-68.012600171,-129.21685991,2530.0
5.6419985936,136.17109674,-67.112887923,-148.86089672,2540.0
5.6908287207,160.03461563,-66.553397966,-177.55258096,2550.0
5.7025131884,-176.20116814,-65.276399664,151.41812497,2560.0
5.7171645271,-152.77586769,-65.238222321,106.25160342,2570.0
5.7826845976,-129.66248083,-67.564528503,71.629303663,2580.0
5.9064130837,-106.56231117,-65.881719873,43.949801677,2590.0
6.080392136,-83.198242826,-63.311375922,-14.210558279,2600.0
6.2945829413,-59.444053089,-62.890289221,-81.338091239,2610.0
