S11m,S11p,S21m,S21p,Frequency
5.1661275887,-49.213847623,-52.006647642,-61.605411041,2000.0
5.4099798198,-26.186701581,-54.821106303,-119.78126073,2010.0
5.5699426025,-1.8206407317,-56.180010195,-114.61726658,2020.0
5.5786444439,23.565551244,-43.07583771,-172.65114742,2030.0
5.4313213452,49.378336724,-54.848460267,84.735982142,2040.0
5.1682574445,74.851454987,-61.069462048,65.809720157,2050.0
4.8550431467,99.638031585,-64.001226263,45.706447833,2060.0
4.5851812643,123.22048482,-65.993123713,23.231503121,2070.0
4.4318293384,145.61751133,-67.060601806,-2.2158657351,2080.0
4.4492163193,167.21227029,-70.408628328,-19.548876544,2090.0
4.6143447289,-171.09638642,-64.347873281,10.985978911,2100.0
4.8253460521,-148.65672897,-59.210346851,-40.331564399,2110.0
4.984313814,-125.39975907,-61.505669154,-78.559721836,2120.0
5.0617313317,-101.50313114,-53.753472001,-99.436577153,2130.0
5.039582154,-77.142860225,-61.749176735,141.80148519,2140.0
4.9233567084,-52.626934535,-74.749893223,159.66946108,2150.0
4.7698880345,-28.302495994,-70.647415955,-167.91440699,2160.0
4.6204319956,-4.3314029012,-66.951786136,-178.43364868,2170.0
4.5065227673,19.178602015,-64.194255804,159.61525831,2180.0
4.4746917606,42.043437258,-61.221350194,127.22027939,2190.0
4.5609626869,64.774176088,-60.024373527,84.513585684,2200.0
4.6870638371,87.885856026,-61.117412901,51.932847096,2210.0
4.7889451686,111.33225096,-62.992001523,23.884439622,2220.0
4.8627522301,135.09455214,-60.410076203,30.108208037,2230.0
4.871001614,159.14965397,-57.648705361,-68.685062757,2240.0
4.8177662803,-176.82298128,-63.131743971,-99.704238696,2250.0
4.7337434784,-153.09726046,-64.351456994,-117.74150637,2260.0
4.6515324615,-129.69340392,-63.530611394,-140.73124911,2270.0
4.5842387376,-106.68700438,-60.831513027,-173.68631966,2280.0
4.570361608,-84.038637514,-59.082840294,138.11023283,2290.0
4.638206779,-61.367929223,-59.410230084,94.925110594,2300.0
4.74096672,-38.249198395,-60.239370241,61.441577395,2310.0
4.8213476485,-14.638460189,-60.428143323,36.636404265,2320.0
4.8605523618,9.194621776,-60.368157229,18.244341286,2330.0
4.8622649865,33.221114033,-53.893433865,-53.206969138,2340.0
4.800632281,57.254091497,-60.690730596,-98.022936866,2350.0
4.7296608685,80.773064598,-63.56573105,-116.22033076,2360.0
4.6936195242,104.03096423,-63.597273837,-140.11587788,2370.0
4.6914703185,127.0613132,-62.953297108,-174.27286979,2380.0
4.7335399162,149.90268669,-64.39820418,148.20238818,2390.0
4.8374061816,172.74313851,-65.17734908,119.99934935,2400.0
4.9708303788,-164.15415041,-66.179355139,91.962361145,2410.0
5.0893825291,-140.72650484,-65.020290095,69.985603449,2420.0
5.1838606937,-117.04279254,-61.729901485,37.292633422,2430.0
5.2565238216,-93.04974889,-57.600188994,-15.42309006,2440.0
5.2830683416,-68.760830371,-60.119482391,-79.086181773,2450.0
5.235556187,-44.497711809,-61.817542755,-115.49669782,2460.0
5.1634633063,-20.682002674,-62.985818582,-157.88341626,2470.0
5.1252776962,2.6607447057,-65.691522843,152.83030019,2480.0
5.1427890836,25.674525789,-68.932569315,116.16560893,2490.0
5.2213574388,48.53135824,-71.543416559,91.424049187,2500.0
5.3539633541,71.576444917,-71.669572877,68.787730322,2510.0
5.5128471568,94.864579259,-70.841036365,46.722611498,2520.0
5.6285039648,118.46835003,-67.032887069,25.805125702,2530.0
5.7470601522,142.16309988,-61.058784473,-23.394358978,2540.0
5.840914869,166.1281721,-62.308361886,-90.544224834,2550.0
5.8958385799,-169.91350127,-64.075213036,-124.12683591,2560.0
5.952183748,-146.15405447,-64.085773311,-161.15042636,2570.0
6.0360539803,-122.60138789,-66.228444299,150.00020127,2580.0
6.1606900678,-99.149092998,-69.037977958,116.38784381,2590.0
6.3407738965,-75.64437876,-71.033487381,96.558496246,2600.0
6.5674653992,-51.88667627,-69.429056061,83.484448791,2610.0
6.8014895846,-27.693240381,-67.431376161,63.172510689,2620.0
7.0000967336,-3.2199044331,-62.809911352,37.406587438,2630.0
7.1607933716,21.312151538,-56.447754769,-3.0583790068,2640.0
7.2826118099,45.958911811,-54.955054928,-95.580218816,2650.0
7.3309909162,70.549693259,-58.783746154,-128.13877588,2660.0
7.351528474,94.327253475,-60.079749217,-179.25744381,2670.0
7.4295900953,117.40659137,-65.78040018,117.53335108,2680.0
7.5807732692,139.78572976,-74.507449658,81.321269715,2690.0
7.8954272832,161.80810033,-79.969635348,46.836057719,2700.0
8.3795838615,-175.86393255,-83.060548022,64.140407114,2710.0
8.9726696861,-152.81040833,-80.905458017,110.45135786,2720.0
9.6374265158,-128.84981706,-74.750526388,98.942569236,2730.0
10.310438552,-103.88999208,-64.594604276,84.972935456,2740.0
10.887180919,-77.977455216,-54.324515561,13.597390317,2750.0
11.289054244,-51.689223209,-58.174782395,-23.982760428,2760.0
11.516571411,-26.48695911,-55.653338761,-52.091470334,2770.0
11.796926067,-2.9824240637,-56.584645717,-119.30648061,2780.0
12.211659789,19.347163125,-64.018220349,-167.03898747,2790.0
12.811022725,41.066875885,-70.602198828,179.83103134,2800.0
13.609480003,62.612186438,-75.739942588,109.09568151,2810.0
14.619072649,84.14775706,-71.011819654,47.693096735,2820.0
15.837635662,105.16295069,-63.693388575,42.297702891,2830.0
17.290905191,125.64826987,-58.894020112,23.76443513,2840.0
18.982316999,145.79919233,-47.232203841,-24.695896226,2850.0
20.699024289,165.9801465,-47.922685069,-100.72509936,2860.0
22.008993021,-175.76057654,-44.208467994,-111.93730342,2870.0
22.645092326,-163.54511845,-40.09353337,163.38583505,2880.0
22.481952738,-157.4598035,-46.460510359,87.634637758,2890.0
21.46437126,-152.84910528,-52.99086469,43.023017534,2900.0
19.949344688,-146.34319562,-56.953594053,37.26471181,2910.0
18.565679246,-137.30660328,-59.851318058,21.036964475,2920.0
17.4568109,-124.83150786,-62.696130107,-17.765674131,2930.0
16.629800333,-109.68770724,-52.47952445,-33.059963346,2940.0
16.08246345,-92.781662467,-42.877771407,-52.5597157,2950.0
15.824911063,-72.965137764,-40.338991601,-161.19692714,2960.0
15.694757516,-49.080699822,-46.272629259,-171.93580099,2970.0
15.212913645,-21.104801558,-42.380223654,161.55885731,2980.0
14.248917732,7.430624415,-49.300386932,85.766193004,2990.0
13.076038535,35.593116153,-57.266794916,70.303189962,3000.0
12.020189661,59.242577158,-62.378783968,76.521228532,3010.0
11.0549707,82.470999022,-65.074841767,66.386928677,3020.0
10.298408711,104.61005252,-64.77160018,65.911250422,3030.0
9.6828125975,126.27084293,-64.269943449,52.806993901,3040.0
9.2313576805,147.48310385,-58.309919026,17.835954338,3050.0
9.0127017077,168.5674487,-51.507473496,-51.951692201,3060.0
8.9391429709,-169.34857746,-59.033645624,-111.21706987,3070.0
8.9346662738,-145.72238796,-58.288251756,-107.97125592,3080.0
8.8716329201,-121.39316864,-54.267860709,175.34865116,3090.0
8.7313708247,-96.393774587,-64.089006017,142.95560963,3100.0
8.4813143505,-71.422529714,-68.745693701,100.5561131,3110.0
8.1519460201,-47.313616214,-71.003823285,115.29123872,3120.0
7.8803932183,-23.593880727,-68.554729181,99.472388266,3130.0
7.6179538469,0.10933165037,-66.795554343,91.379055603,3140.0
7.4326573209,23.72195511,-61.935078218,57.963269929,3150.0
7.3614523751,47.444537578,-55.496271486,-9.2395198704,3160.0
7.3338099061,71.958926817,-61.109067945,-76.855908234,3170.0
7.2274614278,97.065107883,-65.179623439,-53.611939365,3180.0
7.0181592535,121.97434089,-57.905887978,-88.872350901,3190.0
6.7664888303,146.26169317,-63.182602492,-171.35004206,3200.0
6.5122350378,169.77427262,-69.650223076,-177.92807061,3210.0
6.2814868956,-167.44828748,-71.506797224,-170.38029668,3220.0
6.0732416358,-145.51401743,-72.344535585,163.97780168,3230.0
5.9373489641,-123.98736597,-66.804512327,155.54219345,3240.0
5.8566488931,-102.54588532,-59.532416035,147.69333929,3250.0
5.8552784488,-80.872652206,-50.51481317,77.042812475,3260.0
6.0167211694,-57.975191447,-55.165561852,9.0814381751,3270.0
6.2027851476,-33.780955401,-59.790269616,15.258133542,3280.0
6.3138219755,-8.4232802747,-55.943796673,14.950255802,3290.0
6.3321932556,17.301546643,-51.138561507,-78.856779787,3300.0
6.2346767173,42.914304475,-61.091916108,-112.19939072,3310.0
6.0543783832,67.988426576,-66.792162344,-114.03993187,3320.0
5.8209616985,91.91431624,-69.01334361,-115.89342362,3330.0
5.5720518638,114.60876447,-69.593353386,-123.27315147,3340.0
5.346480987,136.59843455,-64.86079466,-146.07234518,3350.0
5.1899884867,158.22881349,-58.594551298,163.71994505,3360.0
5.1768175393,179.74253992,-64.60623246,78.961219998,3370.0
5.2949560019,-157.60029168,-74.084377141,79.977088154,3380.0
5.4015900219,-134.10333369,-73.093405669,106.29593229,3390.0
5.4846455604,-110.56774926,-67.167059607,61.514138715,3400.0
5.5566418909,-86.797993104,-85.498118548,-67.171599208,3410.0
5.5973600551,-63.121023216,-81.586008219,125.26668238,3420.0
5.6071310887,-39.44635599,-78.84055565,128.11535302,3430.0
5.5796835419,-16.058211872,-76.279581455,135.37535844,3440.0
5.4848557819,7.1827172057,-69.604542318,134.03037996,3450.0
5.3739266657,29.960928549,-61.080751057,58.049144142,3460.0
5.3706873179,52.855775899,-73.192476299,16.628304434,3470.0
5.5146482934,76.890605565,-92.013005419,55.377618736,3480.0
5.6706194868,102.1173986,-80.369327985,163.92391292,3490.0
5.714967206,127.59435861,-69.702843934,145.88588846,3500.0
5.6588900491,152.57159962,-64.155630571,22.033273804,3510.0
5.5041918083,176.64869164,-74.913603316,-42.676350725,3520.0
5.2647674836,-160.48439571,-77.312803082,-60.712158687,3530.0
5.0259461884,-139.00263401,-72.028606088,-74.588823128,3540.0
4.8205761137,-118.40182964,-63.644679568,-102.4578558,3550.0
4.6982914738,-98.151048299,-60.592340486,145.97159668,3560.0
4.7607032653,-77.753618306,-67.150732493,144.72901153,3570.0
5.0751678707,-55.89126708,-68.039474871,163.53816957,3580.0
5.470775986,-31.955613839,-65.060120302,174.38280222,3590.0
5.8365527134,-6.4819322289,-58.673801991,177.50390911,3600.0
6.1180541816,19.803350303,-45.814363337,106.41667159,3610.0
6.2590739218,46.412436921,-57.070935059,62.967244798,3620.0
6.187608288,72.487303567,-59.588454759,69.761107973,3630.0
5.8915917194,97.114157134,-58.341269055,76.566752887,3640.0
5.4685418118,119.71801558,-49.70348491,84.495486084,3650.0
5.1277396542,140.57111255,-57.978031861,-141.3779331,3660.0
5.021989651,160.95719329,-65.063125405,-117.24531811,3670.0
5.1503968391,-177.7154289,-64.908441407,-107.70404897,3680.0
5.3648874273,-154.89781103,-62.287265696,-103.30935828,3690.0
5.5902348912,-131.06365095,-56.699670684,-116.08132803,3700.0
5.8020321709,-106.72965782,-48.55778005,165.01039603,3710.0
5.9956650369,-82.210918083,-54.656727166,108.59386126,3720.0
6.1122706616,-57.924594588,-54.507194225,99.886455588,3730.0
6.0859175513,-34.049693507,-36.833406863,48.256456825,3740.0
5.8830305896,-11.430535884,-60.667240626,-94.457245921,3750.0
5.6782613564,9.6470632591,-69.783219172,-77.626127693,3760.0
5.6794077426,30.221034438,-70.39294447,-67.790272988,3770.0
5.9139341429,51.789075446,-67.786425467,-82.804611526,3780.0
6.2933618015,75.356066601,-60.643305451,-103.5808436,3790.0
6.6889838643,100.96216668,-53.582143374,177.45063948,3800.0
7.007235101,127.91856184,-58.938625921,154.1773006,3810.0
7.2107126799,155.40311913,-59.718169499,163.00767976,3820.0
7.199576876,-177.69262059,-56.769680252,-170.81410157,3830.0
7.0155912663,-152.69169386,-46.103746927,-72.062677869,3840.0
6.7169463092,-129.77415014,-61.176800464,-0.57691312427,3850.0
6.3159182574,-108.93577758,-67.547192995,15.750928336,3860.0
6.07728579,-89.907977936,-68.890115003,3.3163313827,3870.0
6.1308485896,-70.905339181,-67.501528843,-33.577514001,3880.0
6.425267616,-50.665173779,-65.594125088,-100.14783619,3890.0
6.9027461791,-28.680944421,-67.675313048,-156.85484329,3900.0
7.5524554546,-5.1446239194,-68.455894793,-173.40041362,3910.0
8.3701999502,20.242969724,-65.933289045,-179.913193,3920.0
9.2451983825,47.40627299,-59.659931904,176.73166685,3930.0
9.942971487,75.676919335,-49.247313608,46.862796588,3940.0
10.198584514,104.00206321,-62.838397059,32.184603547,3950.0
9.9075833918,130.63167337,-66.928631391,68.092208108,3960.0
9.3224843782,154.00598599,-64.756657395,71.108748891,3970.0
8.8360114721,174.93446853,-62.387621371,27.168423248,3980.0
8.6255901342,-164.39634494,-63.904112478,-11.748145413,3990.0
8.720330477,-143.50241845,-65.402442569,-42.296406214,4000.0
9.1742523273,-121.3463804,-65.805995925,-69.109934686,4010.0
9.7812562938,-98.174785663,-63.989185549,-86.115585285,4020.0
10.575345196,-75.058587783,-58.221676149,-96.647429417,4030.0
11.473587927,-52.665323195,-47.698085766,-164.36484337,4040.0
12.428712274,-30.729924195,-55.002245682,120.97411139,4050.0
13.204493544,-8.3647139301,-59.409427748,93.795950115,4060.0
13.511413374,14.447883062,-61.71751362,89.524003502,4070.0
13.509126412,36.541121743,-65.667155879,86.404221831,4080.0
13.529258766,57.407140859,-70.721138678,84.984468613,4090.0
13.90371516,77.383777308,-70.02517378,71.046485125,4100.0
14.849010912,96.293080736,-69.022638432,55.876313438,4110.0
16.381021295,113.80151383,-67.346633917,22.596871561,4120.0
18.393792627,128.27170977,-61.873221291,-27.805683404,4130.0
20.454811746,137.10585327,-53.463158916,-128.36701939,4140.0
21.991880823,142.47307112,-52.620839114,163.16446228,4150.0
22.799438021,153.35888408,-51.002807269,95.412898218,4160.0
23.696704972,175.82492924,-56.368460627,29.785857706,4170.0
23.807440343,-148.8356404,-62.512380045,-112.90853202,4180.0
21.897169686,-112.0547012,-62.211895175,-155.47072888,4190.0
19.274292466,-87.596504456,-65.540211563,-162.97116304,4200.0
17.111945819,-71.873469139,-66.683617589,176.84274262,4210.0
15.480138649,-59.289578445,-65.503426158,159.50173254,4220.0
14.040994623,-46.816926189,-63.998388062,133.46697057,4230.0
12.69737629,-32.735825268,-64.667229917,74.056677298,4240.0
11.570301564,-17.006957747,-69.15307123,20.955631061,4250.0
10.758274796,-0.10241918736,-69.395829226,-14.304737501,4260.0
10.359859991,17.641346918,-71.279628208,-94.737774075,4270.0
10.435714507,36.267346644,-76.272457105,158.62885415,4280.0
10.963377368,57.089868916,-77.42672036,102.66341743,4290.0
