S11m,S11p,S21m,S21p,Frequency
5.2847360155,-58.244626693,-50.48033283,127.76493934,2000.0
5.5862634821,-35.321658219,-51.535696251,110.80749259,2010.0
5.7560529501,-10.816293702,-51.329307954,101.11643134,2020.0
5.7483606846,14.770191417,-51.44234055,88.095269863,2030.0
5.5678142735,40.792670206,-51.290863087,74.169638274,2040.0
5.2516636576,66.499916965,-50.67128935,60.049113589,2050.0
4.8893039399,91.44243418,-47.910475777,28.89672335,2060.0
4.5686478749,115.12599342,-46.605816775,-46.57716484,2070.0
4.3796132162,137.49992041,-58.47568178,-131.2902009,2080.0
4.3824727529,159.0301327,-61.858150291,29.477223713,2090.0
4.5611317628,-179.31365484,-55.743602028,-8.314799005,2100.0
4.7994278753,-156.81553278,-55.781455358,-29.813882051,2110.0
4.9813987392,-133.37529634,-55.389113513,-32.513257386,2120.0
5.0627698007,-109.34024517,-53.857842521,-45.915742168,2130.0
5.0332833137,-84.977227492,-54.497132529,-71.469905414,2140.0
4.9001148897,-60.50442688,-61.121756453,70.438401963,2150.0
4.7134970204,-36.257802792,-47.618514649,-93.843476723,2160.0
4.5356181406,-12.426298218,-51.063135524,-113.922826,2170.0
4.412708421,10.919022168,-52.509772424,-124.48048211,2180.0
4.375778378,33.743838594,-53.563564374,-131.41926915,2190.0
4.465244165,56.43350012,-54.957398244,-140.24239051,2200.0
4.6104443737,79.6957885,-57.962706796,-144.17082491,2210.0
4.7114110187,103.37719527,-60.346039154,-117.67160121,2220.0
4.762390183,127.33007245,-55.488823308,-89.000047629,2230.0
4.7475230083,151.4824489,-45.880307009,-76.837267365,2240.0
4.6692747165,175.5590417,-40.419166452,75.960406078,2250.0
4.555312415,-160.73920661,-50.108311631,82.905022469,2260.0
4.4539715777,-137.4849715,-53.38774492,78.368834006,2270.0
4.3904710859,-114.6362487,-55.106640704,68.938511975,2280.0
4.3837725776,-92.138310161,-56.32026435,58.442104484,2290.0
4.4465867683,-69.68583441,-57.495072063,52.846714454,2300.0
4.5457675879,-46.777167433,-58.827061764,53.695080727,2310.0
4.6357140158,-23.278594349,-58.469361863,70.3106233,2320.0
4.6726050947,0.52706190551,-53.442273815,90.655093136,2330.0
4.6753289844,24.514959745,-40.29976716,130.16270708,2340.0
4.6197379863,48.626351362,-48.21310545,-107.27091097,2350.0
4.5292704336,72.283536944,-55.110006554,-98.020404272,2360.0
4.4816347402,95.603449073,-58.184503621,-94.427697932,2370.0
4.4768887547,118.62385481,-60.028625754,-94.246155733,2380.0
4.5279058525,141.59518209,-60.746461305,-96.437480249,2390.0
4.6291689198,164.61838332,-60.890871453,-103.1495081,2400.0
4.7611314132,-172.12970781,-61.089406923,-113.89200636,2410.0
4.8704287793,-148.51873499,-61.865805708,-116.81699209,2420.0
4.9399173013,-124.6839916,-59.332206661,-93.112254511,2430.0
4.9741507459,-100.72459102,-43.741730555,-72.339073988,2440.0
4.9590364591,-76.622235078,-49.596193288,96.375148581,2450.0
4.8809645863,-52.583358747,-55.947385369,89.140447241,2460.0
4.792674788,-29.040084506,-59.579603619,79.614942322,2470.0
4.745332132,-5.9679968128,-63.24912985,69.581096601,2480.0
4.7660460288,16.954665961,-65.830363497,66.076299642,2490.0
4.843802377,39.801327945,-66.66464053,62.425060901,2500.0
4.9590076389,62.838789997,-66.062835662,57.345908333,2510.0
5.0978776347,86.173775686,-63.578830748,51.204949362,2520.0
5.2105270159,109.86626977,-58.845893296,50.805184645,2530.0
5.2920127735,133.6703018,-48.419513519,43.432687169,2540.0
5.3560757778,157.60636007,-47.581269406,-126.27580332,2550.0
5.3795022987,-178.38593482,-56.595608938,-134.76700918,2560.0
5.3883198273,-154.61761195,-60.653908962,-135.78269183,2570.0
5.4325962094,-131.11842715,-63.056550396,-137.03367616,2580.0
5.5317659511,-107.69357862,-64.615122009,-141.47812756,2590.0
5.680777154,-84.156018618,-64.576367285,-142.56778854,2600.0
5.8642862846,-60.323748062,-62.550426416,-142.8724283,2610.0
6.0437433366,-36.169551884,-58.533517061,-147.17681879,2620.0
6.1874281283,-11.642649848,-54.043084727,-158.35939657,2630.0
6.2616940102,12.724813293,-47.409710942,-174.58475354,2640.0
6.3018538449,37.069708268,-42.453738696,74.566320104,2650.0
6.2921846683,61.221524076,-51.989963427,56.257463941,2660.0
6.2440939469,84.731330396,-56.162089262,47.729534159,2670.0
6.2737871796,107.64518498,-59.691150155,40.507032118,2680.0
6.4090299491,130.19776117,-62.325257271,33.164039029,2690.0
6.6641437985,152.72667881,-63.79554178,25.314088569,2700.0
7.0458139198,175.60460207,-64.422447001,19.453775655,2710.0
7.5141662339,-160.68365521,-63.19028754,17.187826369,2720.0
7.9851182473,-136.03204154,-59.924302157,18.763642918,2730.0
8.3914799877,-110.69222164,-54.262732556,19.47569663,2740.0
8.7003777106,-84.941743667,-48.653706469,-20.162053752,2750.0
8.8870631237,-59.207798049,-51.362772103,-47.620442892,2760.0
8.9853623176,-34.267557976,-53.251290163,-47.423091236,2770.0
9.1486368859,-10.856466855,-54.689737756,-50.161832821,2780.0
9.4572078679,12.095261121,-57.371056683,-49.999688822,2790.0
9.8845983441,34.932684544,-57.869826495,-47.939431169,2800.0
10.432191601,57.856159195,-56.409415547,-76.797117321,2810.0
11.155225029,81.915138105,-54.203022641,-119.0434587,2820.0
11.985805621,106.72673692,-50.81155792,-159.195894,2830.0
12.870194036,132.41589615,-47.643092571,168.92552882,2840.0
13.727462549,158.81568953,-44.154076589,141.78462103,2850.0
14.408284582,-174.99942306,-42.468188928,115.12167783,2860.0
14.974727364,-150.72278291,-42.348880065,93.669756204,2870.0
15.736927489,-129.64419449,-42.310016719,68.459584844,2880.0
16.972141471,-111.30810226,-42.751833679,37.987356137,2890.0
18.779573108,-94.917749641,-42.738737182,13.874630395,2900.0
21.254248537,-81.199319689,-41.70436714,-6.3501140091,2910.0
24.683773479,-72.471482138,-39.237290157,-35.285847219,2920.0
29.030868668,-75.307702532,-34.433353972,-66.583945076,2930.0
32.044732236,-101.90082847,-29.452642952,-117.97490298,2940.0
30.077198889,-121.88187321,-28.281348934,-156.85624569,2950.0
28.574182172,-118.5975487,-26.091050606,179.08611124,2960.0
28.27169023,-94.526941752,-22.994084743,166.33015342,2970.0
