S11m,S11p,S21m,S21p,Frequency
5.5375674214,-60.097245737,-41.000138937,-88.818276849,2000.0
5.8915427043,-36.863176773,-48.142773928,-106.30282042,2010.0
6.1051686126,-12.092207394,-55.042491935,-84.28876309,2020.0
6.113655561,13.689754204,-55.330600212,-77.018181762,2030.0
5.9310971235,39.844580096,-57.02883388,-84.49908823,2040.0
5.602401894,65.638183407,-58.142347661,-63.703076277,2050.0
5.2230158377,90.619280894,-50.827888834,-50.580450281,2060.0
4.8867857823,114.2854821,-42.980334808,-91.23559705,2070.0
4.6940650482,136.5800313,-43.201765759,-175.14939789,2080.0
4.7017881049,158.00527821,-48.981107113,140.53519641,2090.0
4.8898644913,179.60315193,-55.127406198,104.95901664,2100.0
5.1315493054,-157.8563783,-65.121592683,26.570486086,2110.0
5.3000787206,-134.25032908,-67.07180387,-91.467108226,2120.0
5.3509299642,-109.91981002,-61.086068949,-87.174056379,2130.0
5.2906401942,-85.176361025,-53.819620237,-105.05166476,2140.0
5.1388754407,-60.343009342,-44.512708824,-129.9378078,2150.0
4.9367639163,-35.842710685,-32.788764141,78.151314593,2160.0
4.747689989,-11.888690747,-44.53130057,36.854141483,2170.0
4.6221037479,11.465176081,-47.583146457,21.938161839,2180.0
4.5873792486,34.245720848,-49.140298969,6.0521675517,2190.0
4.6732653839,56.836693785,-50.383637979,-6.6656278641,2200.0
4.8139096335,79.921894139,-50.5260367,-24.464951665,2210.0
4.8968501379,103.43531063,-52.580332665,-55.538773098,2220.0
4.9314847858,127.1745416,-56.818673181,-39.35935759,2230.0
4.9059392413,151.12057004,-51.800962325,-25.096098346,2240.0
4.8245450405,175.0238303,-37.525760245,158.38094727,2250.0
4.7100524148,-161.39309939,-57.590388712,-163.0895899,2260.0
4.6132802727,-138.21960256,-62.138424379,-142.51593943,2270.0
4.558669921,-115.36644902,-64.050461545,-123.73248818,2280.0
4.5618422148,-92.742921364,-63.914255124,-115.73232071,2290.0
4.6377348298,-70.118528563,-63.809098401,-119.03885438,2300.0
4.7572890702,-47.061430953,-63.116348966,-124.09505383,2310.0
4.8607188328,-23.407404748,-61.706918006,-149.99666043,2320.0
4.9029381105,0.564451529,-65.006314028,-178.54170583,2330.0
4.8956472792,24.689086383,-59.627760364,-135.33678361,2340.0
4.8312805132,48.935208709,-68.369015651,51.711225506,2350.0
4.7270893454,72.680962557,-70.086558431,115.76147808,2360.0
4.6612666097,96.066861439,-69.768608754,124.37352851,2370.0
4.6438512193,119.11044065,-69.498249288,135.28958022,2380.0
4.6800348675,142.02622517,-68.639395565,141.08340199,2390.0
4.7657038496,164.9570518,-67.632717057,151.71464965,2400.0
4.8896931649,-171.86201101,-64.970087261,157.99230568,2410.0
4.99552994,-148.3484344,-60.901763321,152.84278404,2420.0
5.0608491223,-124.63864587,-57.112574186,132.27381021,2430.0
5.0965980486,-100.75267126,-49.776189596,130.24509963,2440.0
5.0941824548,-76.700274682,-53.326872481,-22.506343884,2450.0
5.0322982857,-52.745924979,-62.166472226,-32.184909973,2460.0
4.9523834421,-29.177392082,-66.574325179,-25.725052599,2470.0
4.9193265131,-6.0289443736,-67.98959831,-20.454320264,2480.0
4.9455910929,17.014241841,-68.098968212,-19.239727804,2490.0
5.0204413499,40.063756877,-67.52175961,-20.31176243,2500.0
5.1304570382,63.152644256,-67.522824786,-20.111413275,2510.0
5.2593045505,86.579872753,-67.339212532,-8.691835384,2520.0
5.3556352491,110.36572205,-62.537422273,12.601161351,2530.0
5.4294682845,134.18537834,-51.754122897,3.3608769197,2540.0
5.482241852,158.12934871,-54.724011924,-113.24510586,2550.0
5.4948953579,-177.94816398,-61.184355634,-111.96526775,2560.0
5.4954726252,-154.31648667,-64.030867635,-110.67279522,2570.0
5.5344469741,-130.92386675,-66.474196708,-104.59843731,2580.0
5.6264184924,-107.58662271,-65.869721133,-96.6261415,2590.0
5.7617200479,-84.145099295,-63.935219078,-111.73082783,2600.0
5.9290273424,-60.386274264,-62.993988588,-131.03669705,2610.0
6.0930233391,-36.272465175,-61.735137871,-144.07113733,2620.0
6.2208215671,-11.782638905,-58.789782805,-151.0034962,2630.0
6.2893155767,12.642077205,-52.495509602,-158.94539099,2640.0
6.3290720882,36.931691003,-59.586962068,80.752251437,2650.0
6.3290734249,60.971498409,-67.046238249,127.80496067,2660.0
6.2972737281,84.527140189,-66.910730721,168.09440048,2670.0
6.3399709113,107.47716914,-65.880720257,-171.9588529,2680.0
6.4704428713,130.05903434,-63.983232936,-157.64579961,2690.0
6.6933812421,152.62865742,-61.310825481,-158.15272318,2700.0
7.0258075541,175.57758479,-59.207810518,-165.35223449,2710.0
7.4155392478,-160.6564296,-56.326599479,-177.17467274,2720.0
7.8020335724,-136.03013722,-51.487146884,166.65226975,2730.0
8.1360747368,-110.80117629,-42.327289877,138.38800275,2740.0
8.3748606486,-85.273501508,-44.523781127,-0.021034532966,2750.0
8.5097524179,-59.777888028,-52.387715972,30.630611781,2760.0
8.5725780481,-34.812579018,-50.899674755,37.602789314,2770.0
8.6971483772,-11.027910762,-51.034097364,38.955294186,2780.0
8.964322178,12.325993177,-50.689855844,44.20119118,2790.0
9.3279422341,35.734587204,-50.094575948,45.721251585,2800.0
9.8011886866,58.878916835,-49.428588869,43.390949782,2810.0
10.373523102,82.739380507,-47.534723223,42.986357948,2820.0
10.962188782,107.21586759,-44.364051557,34.208017494,2830.0
11.528800428,132.16937809,-40.771041842,1.0338385338,2840.0
12.036573526,157.40826034,-43.309437976,-63.086945972,2850.0
12.41561928,-177.57578246,-52.215272907,-75.55438724,2860.0
12.766786698,-153.95454016,-51.828838727,-54.020756359,2870.0
13.320727287,-132.17928146,-50.240374001,-75.247445417,2880.0
14.27098562,-111.41565063,-51.093366876,-103.76336712,2890.0
15.654300815,-90.449995099,-55.074910419,-105.36651722,2900.0
17.451263271,-68.673950545,-49.641175193,-81.917429601,2910.0
19.867351979,-45.918394863,-46.906842101,-104.88083468,2920.0
22.955404348,-19.335242791,-45.395918475,-108.18305174,2930.0
26.47921345,16.341023455,-42.437367945,-101.73157721,2940.0
29.088415351,64.818527801,-42.703084665,-66.716551437,2950.0
28.824913764,107.03928314,-44.600906039,-18.006324867,2960.0
29.141988626,129.46141198,-43.854254802,12.34357564,2970.0
31.87392165,128.43331315,-38.574156698,-4.331991529,2980.0
33.64822777,77.656725202,-39.471793949,-102.98774548,2990.0
26.2656852,53.733702694,-48.671807903,-54.816488227,3000.0
22.726909387,57.668413181,-47.520589436,-107.8168673,3010.0
19.577114915,70.245141492,-52.689319926,-144.96259706,3020.0
17.390310966,85.185540129,-58.862528053,-150.00323903,3030.0
15.844773471,101.90823393,-60.003782181,-128.09330818,3040.0
14.78207137,120.04741923,-57.872908019,-138.34796867,3050.0
14.108128192,139.59623327,-59.201236628,-159.79819449,3060.0
13.703757876,161.5198628,-60.5125868,-116.85418077,3070.0
13.409846054,-174.21195724,-50.607294399,-106.4754747,3080.0
12.978403889,-148.35354345,-42.355074246,-146.61941407,3090.0
12.441021454,-122.65885484,-43.667958394,138.88218334,3100.0
11.930191884,-97.424971736,-47.969679683,121.24020052,3110.0
11.372260843,-72.678305428,-50.600996124,115.98240424,3120.0
10.837125927,-49.309882427,-52.459004504,112.71816844,3130.0
10.446817748,-26.218313479,-52.784563088,107.32230339,3140.0
10.188426521,-2.9147561558,-52.46814866,99.123346762,3150.0
10.063208663,21.257929359,-53.276390641,95.868387977,3160.0
9.9934706496,47.323302955,-55.034697391,99.279845158,3170.0
9.7242063998,74.724567157,-53.838544902,116.70579915,3180.0
9.1952854953,101.67610699,-48.10244783,104.42693449,3190.0
8.5924136418,127.12698598,-46.967138891,16.536688992,3200.0
8.0291637756,150.86978512,-55.361911667,-21.206973402,3210.0
7.5411340512,173.50951965,-59.625823007,-39.273534231,3220.0
7.1655035244,-164.87854632,-61.496742654,-53.318812529,3230.0
6.8851397603,-144.43207433,-62.493880074,-65.509941317,3240.0
6.7940111954,-124.02233532,-62.662702447,-75.370329835,3250.0
6.8471361315,-102.63861685,-61.269677805,-89.807978613,3260.0
7.0280652069,-80.316639133,-59.995448347,-102.68443676,3270.0
7.262593557,-55.891644524,-59.558575439,-83.101872415,3280.0
7.4049143428,-29.803684302,-51.947703912,-63.783372267,3290.0
7.4018745337,-3.0558195883,-38.905702981,-115.2385034,3300.0
7.2845193141,23.659276296,-48.240437786,155.90550766,3310.0
7.0366405009,49.63551467,-54.763217443,153.76789533,3320.0
6.684979162,74.424505792,-58.316884063,157.27148194,3330.0
6.3100982699,97.690292524,-59.469395519,158.30748739,3340.0
