S11m,S11p,S21m,S21p,Frequency
5.3304689453,-55.090818222,-59.148751526,-19.225766429,2000.0
5.6540117439,-31.919052362,-57.924847289,-26.225663052,2010.0
5.8559680669,-7.3163893971,-57.010334811,-80.188877299,2020.0
5.8677800941,18.244084599,-59.037503246,-131.54698948,2030.0
5.697299694,44.120512841,-61.185614868,-166.46078567,2040.0
5.393189089,69.61069912,-62.066188106,165.20013506,2050.0
5.0379008615,94.349718793,-59.311389865,130.90576857,2060.0
4.7134564522,117.84994604,-58.735635351,76.625551837,2070.0
4.5189493558,140.03227597,-60.677974641,19.108309184,2080.0
4.5215827304,161.34910047,-65.35241866,-45.520876877,2090.0
4.701342575,-177.17913524,-80.471427191,158.57502809,2100.0
4.9392976689,-154.80068633,-75.561598565,21.383314885,2110.0
5.1134237974,-131.39895232,-71.919910291,11.496782132,2120.0
5.1816393257,-107.26050005,-66.797367408,-31.69886313,2130.0
5.1403641114,-82.715659635,-63.94867403,-86.947611249,2140.0
5.002931251,-58.111971277,-62.120716986,-135.85736025,2150.0
4.814988008,-33.841521599,-59.703500019,169.93501731,2160.0
4.6484141885,-10.103039367,-58.61524133,112.8088039,2170.0
4.5415797995,13.100240474,-57.546907821,60.698253773,2180.0
4.5219768706,35.744115894,-56.782917027,2.7817772467,2190.0
4.6252018293,58.241005818,-57.243174661,-55.866542802,2200.0
4.7824338501,81.273845439,-59.421191169,-112.8309513,2210.0
4.8812752092,104.73927817,-62.385306678,-146.07335572,2220.0
4.9355981784,128.50206142,-63.004162047,-178.35853752,2230.0
4.9378813774,152.56707439,-64.045871938,150.53215918,2240.0
4.8834083942,176.69951147,-64.861021751,124.62444412,2250.0
4.7871144582,-159.4026494,-64.312635176,98.121839535,2260.0
4.6893829604,-135.86625084,-65.391788691,59.951837324,2270.0
4.6190295499,-112.70909812,-66.554305831,41.529434529,2280.0
4.6126772831,-89.864141984,-64.712742497,12.208020075,2290.0
4.6886579573,-67.042718963,-64.321392359,-41.970860283,2300.0
4.8059793515,-43.812392686,-66.771821908,-99.761419656,2310.0
4.9002640125,-20.049837861,-74.459672421,-152.96651313,2320.0
