S11m,S11p,S21m,S21p,Frequency
9.3126510216,162.32391576,-50.765294474,126.95669637,2000.0
8.2786940747,-168.57255967,-52.626133639,127.46991237,2010.0
9.6464773097,-138.88047187,-51.52286446,126.62819551,2020.0
15.589860818,-107.20345365,-45.163356167,125.82206923,2030.0
23.464939574,117.76828738,-38.052784334,-49.077306068,2040.0
11.459887161,146.82582406,-53.024874298,-62.759721999,2050.0
8.6384712376,177.89520028,-60.720117303,-78.928086747,2060.0
8.661266462,-152.20092077,-64.078430283,-115.66926193,2070.0
11.674111889,-121.60829662,-56.486025508,-146.92147817,2080.0
24.260430419,-92.647676632,-40.020621793,-156.11420749,2090.0
15.925722177,128.94397065,-46.443791149,30.244228414,2100.0
9.9214183519,159.56141334,-51.805956725,22.394465708,2110.0
8.3102824435,-171.66660454,-53.110570327,14.039347175,2120.0
9.1824571355,-143.39629091,-52.099370433,9.182453071,2130.0
13.765155836,-116.28795427,-47.714903119,8.6907486749,2140.0
26.531338998,170.99708158,-34.285660187,-92.813434211,2150.0
12.648813904,154.01864014,-47.98768901,-144.05447102,2160.0
9.1558019267,-178.69557633,-52.91825838,-152.89410627,2170.0
8.9191194887,-150.8498896,-56.572393247,-172.12048043,2180.0
11.65420304,-122.31604543,-55.855145711,147.44137017,2190.0
22.773104777,-102.95186752,-42.608805041,107.02176439,2200.0
16.013284484,138.42005922,-45.857321814,-48.372844458,2210.0
9.7329628848,165.76907268,-49.155194913,-51.011885658,2220.0
8.0682745428,-165.54879385,-49.333117593,-56.17259622,2230.0
8.9455624054,-136.00181331,-48.228415605,-67.299728192,2240.0
13.849615886,-103.74879238,-43.68545668,-71.027117839,2250.0
27.422165921,123.3840866,-30.338230857,128.1830754,2260.0
11.204354653,150.76873419,-48.097425239,133.64756262,2270.0
7.7053314608,-178.01538201,-53.692463683,147.87269083,2280.0
7.1444874606,-147.84676644,-55.951664788,160.72768332,2290.0
8.834622697,-114.45913819,-56.295132082,177.84825681,2300.0
15.417164396,-67.876096686,-53.663057694,-144.5324184,2310.0
17.590379094,100.77740603,-63.789359723,21.041078797,2320.0
9.2020326684,154.00083201,-66.732931061,-136.20641501,2330.0
6.8506728485,-171.1034627,-62.436301913,-122.13925546,2340.0
6.9036167188,-138.56956573,-59.389714689,-113.43683139,2350.0
9.5656233617,-101.58997761,-54.578665401,-97.964679367,2360.0
19.772887635,-33.901602091,-41.751885496,-62.951669856,2370.0
13.005379914,124.94460501,-46.83235095,53.4674301,2380.0
7.6871926901,168.037231,-51.31171959,60.96445754,2390.0
6.2316504615,-158.56814533,-52.864018147,72.627415992,2400.0
6.8180743624,-125.87647844,-53.88889731,93.404436507,2410.0
10.41964796,-86.070627295,-53.296335736,115.75529413,2420.0
22.150594202,19.662487438,-46.779705713,-168.32969986,2430.0
11.164779994,140.63772637,-67.460088255,-110.74825385,2440.0
7.3028861955,-178.56233675,-67.889769638,-167.02006842,2450.0
6.5976824505,-144.89345563,-63.709992801,-174.72614037,2460.0
8.2722096127,-109.71201469,-59.617187917,-178.45282897,2470.0
15.393874447,-59.121610585,-50.23379176,-166.76051721,2480.0
15.858895959,112.21600634,-48.34525289,-24.294898805,2490.0
8.3974431114,164.40942492,-55.091827781,11.84482689,2500.0
6.32874218,-160.43981043,-57.519823348,31.758951516,2510.0
6.5854988287,-127.46495919,-57.168261482,40.303031977,2520.0
9.7676259689,-88.392091165,-54.406501896,53.116303351,2530.0
21.571845064,4.5507709241,-45.255690273,117.76249008,2540.0
11.221389387,141.95530937,-62.522807535,-137.20649325,2550.0
6.914305649,-175.9325661,-81.72785274,136.21306747,2560.0
5.9210632685,-141.99574396,-71.486654793,102.46612795,2570.0
7.1242238898,-106.06051811,-66.182580469,148.33570136,2580.0
12.275534649,-53.187017937,-58.65126447,-166.44490919,2590.0
15.577888369,88.977660806,-54.133746943,-55.085788491,2600.0
8.1112296548,158.67320686,-62.241823223,-23.649638491,2610.0
5.7452913725,-162.80966172,-64.964416074,-12.524907065,2620.0
5.6360971588,-129.0324305,-62.983671471,2.6764380915,2630.0
7.7724210035,-90.154200018,-58.229294295,29.545520231,2640.0
15.073851576,-21.896720335,-49.355659391,75.992715716,2650.0
12.400239946,122.57166797,-51.512148812,-164.07396455,2660.0
6.9498531524,175.39999765,-57.520634409,-125.64805904,2670.0
5.4335989277,-148.64620703,-62.282504482,-101.60142878,2680.0
5.9730544862,-113.87398721,-67.70704688,-76.559564359,2690.0
9.2822726071,-69.253288712,-68.395544925,2.8331559193,2700.0
17.487362271,37.683253864,-56.583999504,120.74747095,2710.0
9.5507975219,148.00664798,-60.73868435,-124.36979367,2720.0
6.1125922395,-168.19171922,-63.234725268,-84.972617922,2730.0
5.5067468304,-133.41828244,-63.362332702,-61.423272868,2740.0
7.0019053581,-96.133633627,-60.075271642,-41.900635259,2750.0
12.763703754,-39.09413454,-50.017004429,-3.1061273357,2760.0
13.753829831,110.10039652,-45.585834265,121.95982537,2770.0
6.9873253349,172.54811998,-51.719850433,154.04863994,2780.0
5.0558800212,-149.13913967,-53.831026686,160.2495599,2790.0
5.191261706,-113.32437172,-53.424777038,169.02045324,2800.0
7.6648898032,-68.297497466,-50.420202867,-166.96685964,2810.0
14.137832027,26.289025961,-45.080789811,-95.100388556,2820.0
8.6965496563,142.42467207,-55.463136919,-16.780786359,2830.0
5.1996915191,-167.72521596,-67.791976405,-46.044171748,2840.0
4.3232186099,-129.99368043,-63.765906253,-106.62184574,2850.0
4.9812865022,-88.901178517,-56.704675764,-88.370943184,2860.0
7.6464456283,-22.813483012,-49.728065647,-45.108178197,2870.0
7.2208029282,90.867369748,-47.003594264,25.188549689,2880.0
3.4706667335,164.81553078,-48.965185686,58.885830658,2890.0
2.0460573364,-150.69118118,-48.523222963,79.172443886,2900.0
1.5802400044,-112.2532321,-47.430088571,104.18087373,2910.0
1.6445519964,-64.175975595,-46.42259745,130.74487372,2920.0
1.9063409324,16.942426927,-45.464449648,168.92844545,2930.0
0.84979015868,118.42447324,-48.068951547,-138.18835488,2940.0
-0.25682531636,-175.61679164,-52.62583491,-103.26219525,2950.0
-1.4761083949,-130.75185139,-56.980454905,-89.17797363,2960.0
-4.6720370073,-87.418980651,-57.602047158,-80.685546996,2970.0
-19.889941617,-53.534558066,-55.478338308,-69.552428657,2980.0
-10.45433033,-154.44512341,-53.083765597,-55.507688439,2990.0
-8.3007332983,-112.99244647,-49.828106334,-42.63113351,3000.0
-12.83103143,-57.529502938,-46.874327325,-24.787843281,3010.0
-13.491065493,103.7031819,-44.772256427,-2.0932860832,3020.0
-5.189704033,168.91149729,-43.735944884,27.948602742,3030.0
-2.3835781379,-149.92905227,-42.768868207,71.014387345,3040.0
-1.1824593839,-112.02875792,-44.324847923,127.1743682,3050.0
-0.22665336027,-64.68223948,-47.310080899,165.93717908,3060.0
1.926476431,12.719451313,-49.095265543,-151.08171646,3070.0
3.5956040034,116.1323229,-54.320237338,-79.350769673,3080.0
2.8412684692,-175.37866441,-64.069494987,4.8384339523,3090.0
2.5292596188,-131.59454773,-60.420636202,84.753275963,3100.0
3.0222638881,-90.747280993,-53.996499985,100.03914883,3110.0
5.1287119539,-35.549226301,-47.063474361,117.07054913,3120.0
8.2812296686,62.648517277,-40.716927925,-175.08502526,3130.0
5.8310140371,155.6207423,-44.989327247,-91.489046715,3140.0
4.1927747469,-153.83137912,-51.515093784,-48.632225488,3150.0
4.0904345787,-116.14918671,-55.385222615,-27.082691665,3160.0
5.6400208393,-76.974666176,-57.225692727,-11.57391126,3170.0
10.948064576,-18.651265044,-55.629741832,20.564609897,3180.0
13.490416297,120.27319139,-56.424968417,130.7229946,3190.0
7.4024638773,-170.86201344,-66.729640231,175.14680566,3200.0
5.6667016663,-131.4406645,-70.755364948,-131.72797851,3210.0
6.1313118741,-96.545019366,-63.874282927,-80.617983988,3220.0
9.4887744874,-55.753157705,-54.3877996,-51.711047697,3230.0
20.567293086,40.189967772,-40.570612412,20.581356397,3240.0
11.223210601,170.05625813,-49.816194529,123.24318761,3250.0
7.2152735794,-147.93499749,-54.822871309,148.31393917,3260.0
6.506821928,-115.40566884,-57.109410559,172.0199439,3270.0
8.1464588784,-83.351453382,-57.421422601,-172.11322923,3280.0
14.771642242,-45.90163805,-52.354417357,-162.36787269,3290.0
