S11m,S11p,S21m,S21p,Frequency
5.8138958302,-107.52746926,-51.265492482,21.057486032,2000.0
5.5228069223,-79.315330619,-60.179306523,40.015133115,2010.0
5.3757089547,-47.860089698,-59.617379467,87.878170619,2020.0
5.799927183,-14.967586351,-53.233954161,87.972687109,2030.0
7.0614688241,18.841400951,-46.298915483,68.541859925,2040.0
10.931357468,48.427495994,-36.301084671,28.320309669,2050.0
13.260856724,26.705989598,-28.51574874,-77.171989453,2060.0
8.5073340494,39.955590936,-29.375582967,-173.36342886,2070.0
6.5574224312,69.069090882,-36.117095088,114.15446604,2080.0
5.7631703665,98.21244892,-41.987352397,80.490870804,2090.0
5.3935317881,126.21631498,-47.043446725,60.403899571,2100.0
5.0703980602,153.01923201,-51.459105903,55.713000119,2110.0
4.9913898339,-178.09374078,-52.627924894,64.098026331,2120.0
5.2794173455,-147.55048497,-49.96146146,64.211660105,2130.0
6.3570891646,-115.67683096,-43.637799411,58.64964762,2140.0
9.743932946,-88.362328557,-27.325318167,24.147505112,2150.0
11.852233044,-103.80105353,-28.580259048,169.63673552,2160.0
7.8601633769,-90.287520433,-41.236691512,126.49627371,2170.0
6.1759329822,-60.886803889,-47.545127524,117.80310276,2180.0
5.4362556376,-31.961358088,-50.974376775,117.34916039,2190.0
5.071446071,-3.8878067679,-52.476392079,116.59412558,2200.0
4.932366122,23.672385339,-53.340509883,112.41420945,2210.0
4.9214953999,51.754938368,-53.152041502,115.82837277,2220.0
5.1147131489,80.883039676,-49.650557089,122.04830514,2230.0
5.9907470953,111.67315699,-39.094663637,129.43126467,2240.0
8.8553723037,139.61769503,-29.613415791,-93.900805307,2250.0
11.277049074,130.77239743,-38.029933939,-150.06801395,2260.0
7.5926793676,141.63841118,-48.291135109,176.45077875,2270.0
5.9267598417,169.51163476,-54.12354194,171.30213554,2280.0
5.2264480544,-162.62608416,-57.313538918,167.33581992,2290.0
4.9215906397,-135.16584796,-59.076111643,164.13111238,2300.0
4.8203524481,-107.75979927,-60.402062469,160.29259318,2310.0
4.8057213999,-79.964330252,-60.359004948,171.24709733,2320.0
5.0135514193,-51.614766927,-53.63399171,-174.35987533,2330.0
5.7356798418,-21.105723525,-37.960404477,-150.76206863,2340.0
8.1903383061,8.1602129926,-42.588156945,-51.729756593,2350.0
11.071952665,3.0470293388,-47.359628302,-105.79193307,2360.0
7.4515709968,12.009770617,-57.903319342,-134.387787,2370.0
5.7201094076,39.625308536,-63.966474458,-124.96785921,2380.0
5.0611678075,67.550222715,-65.870740972,-117.33642498,2390.0
4.7144468037,94.724422128,-66.424415707,-117.95456509,2400.0
4.580245003,121.12240072,-66.616354802,-122.65821429,2410.0
4.5975053981,147.50763874,-66.478361141,-119.65076491,2420.0
4.7900755137,174.60828353,-62.334267592,-99.523096071,2430.0
5.3900487338,-156.78727569,-45.769002299,-89.292601494,2440.0
7.3744351074,-128.16760468,-49.351807338,75.334554944,2450.0
10.547930872,-125.57672429,-50.605392586,32.639342589,2460.0
7.5322545049,-120.94506191,-56.605282402,-12.264717945,2470.0
5.7735243395,-93.274061025,-60.440664452,-24.378391658,2480.0
5.0693050925,-64.717593746,-63.039609962,-35.634556404,2490.0
4.771455913,-37.445160221,-63.734095059,-41.420722414,2500.0
4.6417411312,-10.811519856,-63.116464844,-51.131401137,2510.0
4.6512187711,16.090483829,-61.90735167,-60.511782976,2520.0
4.7240885022,43.337183365,-58.624619193,-65.518730736,2530.0
