S11m,S11p,S21m,S21p,Frequency
6.3337477981,-137.23473294,-61.195791731,-43.038184071,2000.0
8.0696396481,-107.09197683,-57.508071742,-34.762723382,2010.0
11.933474911,-64.859616101,-57.708462666,-27.739844175,2020.0
16.589435618,21.293034246,-56.48006305,-52.235833657,2030.0
11.840116194,104.71194126,-56.369817826,-19.81969227,2040.0
8.2364322514,145.73762098,-57.350601435,3.2422875862,2050.0
6.6745523727,175.97905439,-57.064041165,14.650242306,2060.0
6.3107964291,-156.97425559,-56.560433023,16.351708814,2070.0
6.9843506996,-129.54540875,-55.092989804,25.457937884,2080.0
9.0074992151,-97.372587294,-54.387245727,38.93782539,2090.0
13.109286614,-50.470238295,-58.442604016,31.432965397,2100.0
15.939351223,38.631634636,-49.771528789,3.4926328549,2110.0
11.296073008,109.4679118,-49.695842412,50.372200819,2120.0
8.0999038111,148.26901408,-51.273538091,80.134110906,2130.0
6.6619703832,177.8191717,-52.520807846,105.67361815,2140.0
6.3870679452,-155.36410015,-52.916651271,133.33746444,2150.0
7.2156822255,-127.69559904,-52.470348155,159.21624834,2160.0
9.5974408126,-94.728566276,-50.608024303,-178.84256436,2170.0
14.587115777,-43.74740647,-45.221230918,-149.87302829,2180.0
16.245067703,58.399145088,-43.570721243,-70.645529848,2190.0
10.690874928,119.98536774,-51.309484747,-24.567803679,2200.0
7.6901981396,154.13550968,-59.858187962,-12.660670858,2210.0
6.3897729772,-178.69709879,-63.820717092,-67.116257883,2220.0
6.1776801255,-153.15649371,-57.57131227,-87.080370504,2230.0
6.9941351244,-126.15511178,-53.402169033,-69.372773292,2240.0
9.3289155806,-93.671528129,-49.980088868,-44.849743893,2250.0
14.469245249,-43.140795094,-45.30867059,-10.842162681,2260.0
16.227677989,64.716263342,-46.012518364,78.438069322,2270.0
10.220241468,126.06588017,-55.422630603,114.76483912,2280.0
7.1722705009,159.50374654,-61.5260286,124.60976349,2290.0
5.8714537608,-174.042956,-63.659630169,142.5523651,2300.0
5.5592099807,-149.23938795,-64.401490858,175.39993091,2310.0
6.1347496587,-123.1670315,-67.603507324,-168.31706819,2320.0
7.9892760199,-91.999332984,-62.608397985,139.46022612,2330.0
12.123291816,-46.559062274,-50.139351466,152.42243771,2340.0
15.797484316,46.836223066,-43.058796767,-135.86913914,2350.0
10.631894301,121.09587304,-47.314223371,-81.354876717,2360.0
7.3573926118,158.99538351,-50.386902842,-58.528353199,2370.0
5.9311717762,-172.24995866,-52.118931068,-39.033530414,2380.0
5.5264519955,-146.13330048,-53.375993319,-19.358468534,2390.0
5.9873462585,-119.42400508,-53.43616826,-3.1536523369,2400.0
7.6610704314,-87.983108506,-51.773764687,21.407520578,2410.0
11.335434204,-42.704690116,-51.022838896,70.081873244,2420.0
14.775824681,43.468765622,-61.097350901,-167.80893262,2430.0
10.558628154,119.13678072,-55.484813597,0.48017735964,2440.0
7.4603747393,159.73263184,-54.705843027,33.057200762,2450.0
6.0698905128,-170.00185956,-55.184466898,57.789658578,2460.0
5.718879266,-142.69401082,-55.83844313,76.827459094,2470.0
6.3492583406,-114.44634132,-56.358386189,104.03955958,2480.0
8.3888494607,-80.045665206,-56.786550105,152.25756035,2490.0
12.477256489,-26.702393853,-54.003131496,-136.60065462,2500.0
13.646170549,65.754421297,-51.57191446,-39.666954959,2510.0
9.287724404,129.00171153,-54.732537883,18.752618878,2520.0
6.6519514473,166.46120619,-57.750028902,68.896949732,2530.0
5.4831610781,-164.41085777,-58.684273707,116.5393937,2540.0
5.2512943718,-137.63702079,-57.502662192,146.96682237,2550.0
5.9139163928,-109.37252092,-55.65106524,158.40160085,2560.0
7.8480968538,-74.056537805,-53.745924287,154.40644174,2570.0
11.369715881,-18.717391264,-49.966223266,154.56198561,2580.0
12.051975908,67.183414074,-46.587419396,-167.535761,2590.0
8.4227222677,128.61000657,-48.874165785,-124.11687518,2600.0
